Record ID	Creator of the record ID 	Creator of the record	Checked	Corpus name	Corpus ID number	Corpus ID numeric	SEG number	Location > ID 	Location >	Geolocation	Position certainty	Geography notes	Reuse	Archaeological context	Mound	Material category	Stone	Origin of stone	Object category	Preservation	Decoration	Relief decoration	Architectural relief	Figural relief	Decoration notes	Visual record availability	Start Year	End Year	Relative Date	Century	Dialect	Latin	Language form	Script	Layout	Document typology	Public documents	Private documents	Document typology notes	Extent of lines	Administrative keywords ID 	Administrative keywords	Formulaic keywords ID 	Formulaic keywords	Honorific keywords ID 	Honorific keywords	Religious keywords ID 	Religious keywords	Epithet > ID 	Epithet >	Collective group names ID 	Collective group names	Geographic names ID 	Geographic names	Imperial titulature	Currency	Person > ID 	Person >	Visual documentation
14719	2	Janouchova, Petra	Yes	IK Byzantion	202	95202		14192	Istanbul - Byzantion - Byzantion	p POINT(28.969029 41.00923)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural		Funerary scene/Symposion		No	-100	100	Roman	-1|1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15136	Theofilos, child of Theofilos, partner of, grandchild of							
14770	2	Janouchova, Petra	Yes	IK Byzantion	251	95251		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9829636 41.0050993)	1 Certain	İshak Paşa	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-100	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No									
14864	2	Janouchova, Petra	Yes	IK Byzantion	343	95343		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9591026 41.0172106)	4 Uncertain	found in the territory of modern Istanbul	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-100	-100	Not Roman	-2	Doric	No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15459	Zoa, child of Menios, partner of, grandchild of							
14890	2	Janouchova, Petra	Yes	IK Byzantion	369	95369		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9651966 41.0089207)	4 Uncertain		No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	1 Architectural / Ornamental|2 Figural			Akroterion	No	-100	-50	Not Roman	-1		No	Prose		Irregular	Private		Funerary		3		1919	Chaire						No	No	15496	Menios, child of Diliporis, partner of, grandchild of							
3376	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	106	20106		3846	Varna - Odessos - Odessos	p POINT(27.9023552 43.2052384)	2 Vicinity		No	N/A	No	Stone	Limestone		Stele	2 Slightly damaged	4 N/A					Yes	-120	-80	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		4		1919	Chaire						No	No	5871	Simakon, child of Metrodoros, partner of, grandchild of							
14657	2	Janouchova, Petra	Yes	IK Byzantion	173	95173		14233	Küçükçekmece - Rhegion - Byzantion	p POINT(28.7889004 41.0348878)	2 Vicinity	Halkali	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-150	-30	Not Roman	-2|-1	Doric	No	Prose		Irregular	Private		Funerary		3		1919	Chaire						No	No	15090	Heraklas, child of Herakles, partner of, grandchild of							
14856	2	Janouchova, Petra	Yes	IK Byzantion	335	95335		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9655399 41.0098923)	3 Region	found in the territory of modern Istanbul	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-150	-30	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15448	Dion, child of Hermafilos, partner of, grandchild of							
14886	2	Janouchova, Petra	Yes	IK Byzantion	366	95366		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9698315 41.0104104)	4 Uncertain		No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-150	-30	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No									
15899	2	Janouchova, Petra	Yes	Other	SEG 60:741	100210	60:741	14192	Istanbul - Byzantion - Byzantion	p POINT(28.9758933 41.0151382)	1 Certain	found in the Marmaray-Metro excavations at Sırkeci Station together with another three uninscribed funerary relief-stelai. Edd.pr. N.Erhan, S.Eskalen, EA 44 (2011) 176/177 no. 2 (ph.; translation).	No	Funerary	No	Stone	Marble		Stele	9 Undeterminable	1 Relief		Naiskos		Marble naiskos stele framed by two columns with moulded capitals supporting an architrave; in the naiskos a seated woman clad in chiton and himation, holding her veil with her left hand and with her right hand holding the hand of a man reclining on a couch; the man wears a cloak and a tunic; his left elbow rests on a pillow; behind the woman’s chair two standing female servants and below the couch two standing male servants; in front of the couch a mensa tripes with food on it; in the background a shelf with a book roll (next to the man’s head), a jewelry box and perfume bottles (next to the woman’s head); inscription on the right part of the architrave	No	-199	-1	Roman	-2|-1		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	15907	Poplios, Fabios, Filodamos, child of Markos, partner of, grandchild of							
16246	2	Janouchova, Petra	Yes	Other	SEG 48:896	100348	48:896	14192	Istanbul - Byzantion - Byzantion	p POINT(28.9865635 41.0366415)	2 Vicinity	Stele allegedly found in Byzantine ruins in Taksim (Istanbul) in 1912. V.Laurent, Échos d’Orient 31 (1932) 425/426 no. 3 (on the basis of a photo and a note given by a certain Mr. Dallegio). Now in the Museum of Natural History of the Smithsonian Institute in Washington, to which it was given by Jefferson Patterson (member of the House of Representatives)	No	N/A	No	Stone			Stele	9 Undeterminable	4 N/A					No	-199	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		3	15054	Paidagogos	1919	Chaire						No	No	5367	Athenodoros, child of, partner of, grandchild of						
