Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
16150,"16149",,,,,
16137,"16136|2176|2189|10154|2609",,,,,
4753,"2175|2206|2261|3325|8075",,,,,
16148,"16147",,,,,
4135,"8","1705",,,,
4991,"3650","696",,,,
4728,"3207","3197",,,,
4720,"12","3197",,,,
15468,"15466",,,"15467",,
15796,"15795","774",,,,
15556,"4417|1594",,,,,
15470,"10275","11730",,,,
10277,"10275","10276",,,,
15230,"13","141",,,,
5834,"13","196",,,,
15273,"13","1691",,,,
4379,"2765","395",,,,
3973,"14",,,,,
16423,"16422",,,,,
16618,"16617","619",,,,
14540,"14539","141",,,,
15670,"15669","1374",,,,
15291,"19","19",,,,
5754,"20","10",,,,
5442,"20","20",,,,
5504,"20","128",,,,
5438,"20","141",,"3603",,"husband of Boon Zopyrou, and second wife Toutas Zopyrou, father of Agathenor and Zoudiegiptous"
5742,"20","196",,"160",,"husband of Arete, daughter of Hellen, father of Hellen"
5886,"20","196",,"3387",,
5492,"20","2287",,"1632",,"husband of Thebais, daughter of Hellen"
4885,"22","451","4232",,,
4173,"24",,,,,
14437,"25","25","14436",,,
4796,"25",,,,,
16259,"26","1640",,"16258",,
3912,"3913","3949",,,,
3934,"3957",,,,,
15181,"15178","15180",,,,
14277,"14276","14276",,,,
3969,"2431",,,,,
13920,"2176|2431",,,"2997",,
4455,"32","135",,,,
10229,"35|61","8232",,,,
15297,"35|2997",,,,,
16245,"35|1429",,,,,
9412,"9411|2176",,,,,
9063,"2181|9062",,,,,
13978,"2181|140",,,"13979",,
13989,"2181",,,,,
4591,"2181|556",,,,,
9179,"2181|998",,,,,
10002,"2181|1048",,,,,
12915,"2181|1196",,"12914",,,
16210,"2181|2243",,,,,
7400,"2181|1377",,,,,
10073,"2181|1757",,,,,
15444,"15443","1297",,,,
16596,"16595",,,,,
14446,"14445","572",,,,
14028,"43","1646",,,,
8936,"45",,,,,
4205,"50|4204",,,,,
4271,"50","4270",,,,
14235,"14234","141",,,,
15371,"14234","647",,,,
4539,"2855","1344",,"2287",,
6711,"53","2287",,,,
11674,"11379",,,"10906",,
4300,"2723","566",,,,
8892,"55","1169",,,,
4647,"55",,,,,
15367,"15366","56",,,,
15368,"56","15366",,,"56",
16034,"56","212",,,,
8349,"56","438",,,,
15365,"56","462",,,,
15307,"56","792",,,,
5752,"56","842",,,,
15875,"56","10906",,,,
14101,"56","1453",,,,
4670,"56","1593",,,,
4576,"4575|4577","2882",,,,
15684,"15683","880",,,,
10250,"62",,,,,
3877,"65","390",,,,
15685,"67","135",,,,
9560,"9559",,,,,
13965,"69",,,,,
16679,"16678",,,,,
15847,"15846","679",,,,
15790,"70","15789",,,,
15788,"71","15787",,,,
5420,"73","1702",,,,
8190,"74","1098",,,,
5446,"5444","212",,,,
5447,"75",,,"1761",,"wife of Zopyrion, son of Antifilos"
12680,"12679","2211",,,,"Amfion, son/slave of Flavios Proklos"
14384,"14383","684",,,,
15756,"15754","15755",,,,
16600,"16599","456",,,,
3873,"83","567",,,,
4550,"84","473",,,,
4548,"84","792",,,,"brother of Demostratos"
4196,"84","1640",,,,
4247,"84","1655",,,,
4659,"4658",,,,,
5468,"85","20",,"3391",,"husband of Mamas Zopyrou"
5878,"85","1248",,"3382",,"husband of Anno, daughter of Agathenor"
4643,"87",,,,,
3898,"93","1252",,,,
15155,"15154","14331",,,,
4255,"97","696",,,,
15036,"15034","15035",,,,
15370,"15369",,,,,
15801,"15799","15800",,,,
4355,"100","432",,,,
15188,"101","1297",,,,
14505,"102","102",,,,
15361,"15360",,,,,
16303,"16302","118",,,,
16241,"15147","10872",,"5415",,
15149,"15147",,,"15146",,
5491,"3572","1307",,,,
4967,"4965","784",,,,
5519,"3541","1223",,,,
5431,"3541","1708",,,"248",
5478,"3541","5477",,,,
5881,"3382","20",,"85",,
4997,"4996","1761",,"1248",,
4141,"104","2558",,,,
5432,"5856","1132",,,,
15375,"110","1757",,,,
8732,"110",,,,,
15219,"15218","6688",,,,
15920,"15919","605",,,,
15760,"15759","1176",,,,
5798,"116","196",,,,
5457,"116","2287",,"133",,"husband of Apfia, daughter of Apollodoros"
15086,"116","11563",,,,
15482,"116",,,,,
15500,"15498","15499",,,,
15918,"15498","696",,,,
15890,"15498","15889",,,,
15227,"118",,"5756",,,
14180,"118",,,,,
16354,"16353",,,,,
4084,"120","774",,,,"partner of Herainna, daughter of Antagoros"
16505,"16504",,,,,
4142,"122","164",,,,
16494,"122","12195",,,,
15945,"124","15944",,,,
14039,"124","14038",,,,
4974,"2184|2271",,,"2201",,
4339,"4338",,,,,
8929,"8928|209",,,,,
8930,"8928|212",,,,,
10049,"2185|222",,,,,
4033,"2185|4032",,,,,
7903,"2185","2185",,,,
4814,"2185","998",,,,
8939,"2185",,"8938",,,
11579,"2185|2257",,,,,
11578,"11577|850",,,,,
5498,"128","1373",,,,
4785,"129","2466",,,,
5433,"129","1708",,"733",,"husband of Glykytes daughter of Chaires/Chaireias"
