Heurist ID|Administrative keywords|Formulaic keywords|Honorific keywords|Religious keywords|Epithet|Collective group names|Geographic names|Person|
2168 | | | | | | | | | 
2169 | Doulos, Eleutheros, Polis, | | | | | | Abdera, | | 
2294 | Agora, | | | | | | | | 
2295 | Polis, Demos, Psefisma, Argyrotamias, Agon, Agora, | Anagrapsai, Stesai, Eis stelen lithinen, | Eunous, Stefanos, | theoroi, Pythia, hieron, Apollo, Dionysia, | | Abderites, Aitoloi, | Delphi, | | 
2304 | Demos, Patris, Presbeia, Basileus, Presbys, Synedrion, Polis, Boule, Kerykes, Nomofylax, Psefisma, Agora, Analoma, Trapeza, | Stesai, Eis stelen lithinen, | Kalos kai agathos, Filotimia, Prothymos, Epainesai, Proedria, Stefanos, Stefanosai, Eunoia, | | | Abderites, Thrakes, Romaioi, | Rome, Teos, | Amymon, child of Epikouros, partner of, grandchild of, Megathymos, child of Athenaios, partner of, grandchild of, Kotys, child of, partner of, grandchild of, Herakleides, child of Alkifron, partner of, grandchild of, Alkifron, child of Demetrios, partner of, grandchild of, | 
2314 | Demos, Polis, Eleutheria, Agora, | | Eunoia, Euergesia, Filotimia, | naos, theos, | | Abderites, Teoi, | | | 
2318 | Nomofylax, Polis, Politai, Demos, Boule, Agon, Psefisma, Analoma, Presbeia, Agora, | | Eunoia, Euergesia, Time, Proxenos, Efodos, Eisplous and ekplous, Asylia, Proedria, Stefanos, Stefanosai, | Dionysia, hieron, Dionysus, thysia, Theatron, | | Akanthios, | | Filon, child of Python, partner of, Akanthios, grandchild of, | 
2323 | Nomofylax, Demos, Politai, Polis, Boule, Emporion, Psefisma, | Edoxen, | Kalos kai agathos, Eunous, Time, Epainesai, Ateleia, Exagoge sitou, | Dionysus, hierea, hieron, | | Romaioi, | | Markos, Ouallios, child of Markos, partner of, Romaioi, grandchild of, | 
2329 | Nomofylax, Polis, Demos, Boule, Agon, Eleutheria, Psefisma, | Edoxen, | Arete, Proxenos, Eunoia, Time, Agathos aner, Epainesai, Proedria, Stefanosai, Stefanos, Ekona stesai, Ateleia, Eisplous and ekplous, Efodos, | Dionysia, | | Romaioi, Abderites, | Thessalonike, | Gaios, Apoustios, child of Markos, partner of, Romaioi, grandchild of, Poplios, Apoustios, child of Gaios, partner of, Romaioi, grandchild of, Soterichos, child of, partner of, grandchild of, | 
2333 | Nomofylax, Polis, Demos, Politai, Boule, | Edoxen, | Kalos kai agathos, Eunoia, Agathos aner, Epainesai, | | | Romaioi, | | Poplios, Apoustios, child of Gaios, partner of, Romaioi, grandchild of, | 
2335 | Polis, Chremata, Politai, | | Eunoia, | | | | | | 
2337 | Demos, Boule, | | | | | | | | 
2338 | | | | Hermes, | Agoraios, | | | [Pa]mfilos, child of, partner of, grandchild of, [Al]kimene, child of, partner of, grandchild of, | 
2340 | | | | Pythia, Hestia, | | | | | 
2342 | | Anetheken, | | | | | | Ny[?], child of, partner of, grandchild of, | 
