Record ID,Creator of the record,Checked,Corpus name,Corpus ID number,Corpus ID numeric,SEG number,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief decoration,Architectural relief,Figural relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet >,Collective group names,Geographic names,Imperial titulature,Currency,Person >,Visual documentation
15535,2,Yes,Other,Kabyle 2,100001,42:642,8341,p POINT(26.4841318 42.5481168),1 Certain,ancient city,No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-299,-200,Not Roman,-3,,No,Prose,,Irregular,Public,State decrees,,,10,1816,,,,,2730,,No,No,,
15537,2,Yes,Other,Kabyle 3,100002,42:643,8341,p POINT(26.4828444 42.5489071),1 Certain,ancient city,No,Habitation,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-150,-30,Not Roman,-2|-1,,No,Prose,,Irregular,Public,State decrees,,Late Hellenistic,7,1817,,,,,,,No,No,,
15538,2,Yes,Other,Kabyle 4,100003,,8341,p POINT(26.4839602 42.5485594),1 Certain,"AE 1991, 1402. V. Velkov, AArchHung 41, 1989, 250. 253, Nr. 5., AE 1991. AE 1999, 1370.  V. Velkov, Kabile 2, 1991, 12-13, Nr. 4; obr. 4. - AE 1999. ",No,Habitation,No,Stone,Marble,,Architectural feature,1 Intact,1 Relief,1 Architectural / Ornamental,Altar,,,Yes,135,136,Roman,2,,Yes,Prose,,Irregular,Public,Religious/Ritual,Other,"Dedication of cohors II Lucensium to Zeus Dolichenus, Latin",4,,,,,,,,No,No,,
15539,2,Yes,Other,Kabyle 5,100004,,8341,p POINT(26.4832306 42.5479271),1 Certain,"AE 1991, 1403. V. Velkov, AArchHung 41, 1989, 253, Nr. 6. - AE 1991. AE 1999, 1371.  V. Velkov, Kabile 2, 1991, 13-15, Nr. 5; obr. 5.  - AE 1999. ",No,Habitation,No,Stone,Marble,,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Geometric motive,,,Yes,135,136,Roman,2,,Yes,Prose,,Irregular,Public,Religious/Ritual,Dedicatory,"Dedication to Hadrian, made by cohors II Lucensium",8,,,,,,,,Yes,No,,
15540,2,Yes,Other,Kabyle 6,100005,,8341,p POINT(26.4837027 42.5491917),1 Certain,"AE 1985, 0769. AE 1991, 1404. AE 1999, 1372. K. Banev - R. Lazov, Arch(Sofia) 23, 4, 1981, 39-41, Nr. 3; obr. 3. - AE 1985. 1999. V. Velkov, AArchHung 41, 1989, 253, Nr. 7. - AE 1991. V. Velkov, Kabile 2, 1991, 15-16, Nr. 6; obr. 6. - AE 1999. ",No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,135,136,Roman,2,,Yes,Prose,,Irregular,Public,Religious/Ritual,Dedicatory,"Dedication to emperor Hadrian, dedication by cohors maybe",7,,,,,,,,Yes,No,,
15541,2,Yes,Other,Kabyle 7,100006,,8341,p POINT(26.4852905 42.549002),1 Certain,"AE 1999, 1373. V. Velkov, Kabile 2, 1991, 16, Nr. 7; obr. - AE 1999. ",No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,No,117,138,Roman,2,,Yes,Prose,,Irregular,Public,Religious/Ritual,Dedicatory,Dedication to emperor,3,,,,,,,,Yes,No,,
15542,2,Yes,Other,Kabyle 9,100007,42:645,8341,p POINT(26.4845181 42.5492865),1 Certain,,No,Habitation,No,Stone,Other >,greenish stone,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Altar,,,Yes,,,Roman,,,No,Prose,,Irregular,Public,Religious/Ritual,,,8,,,,,,,,No,No,,
15543,2,Yes,Other,Kabyle 10,100008,,8341,p POINT(26.485033 42.5473263),1 Certain,"AE 1999, 1374. V. Velkov, Kabile 2, 1991, 18-21, Nr. 10; obr. 9 u. 10. - AE 1999. AE 2004, 1301. A. Stefan, AntTard 12, 2004, 285-288, Nr. 9. - AE 2004. SEG 42, 0646. ",No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,199,209,Roman,3,,Yes,Prose,,Irregular,Public,State decrees,Dedicatory,"Bilingual, Greek only the formula Agathe tyche and the closing formula in the A fragment, complete text in B fragment",13,1816,1903|9843,,1883,,,2068,No,No,12014|13033,
15544,2,Yes,Other,Kabyle 11,100009,42:644,8341,p POINT(26.4841747 42.5490336),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,No,218,235,Roman,3,,No,Prose,,Irregular,Public,State decrees,,dedication to caesar,5,,1903,,,,,,Yes,No,9775,
2168,2,Yes,I Aeg Thrace,1,10001,,3767,p POINT(24.9730182 40.9335844),3 Region,house of Pantaloglou,Yes,Secondary,No,Stone,Limestone,local limestone,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-485,-475,Not Roman,-5,,No,Undistinguishable,Thasos/Paros,Irregular,Public,Legal/Regulations,,,16,,,,,,,,No,No,,
