Record ID,Modern location,Ancient site,Ancient site - region,Temporal horizon,Author or Creator >
3767,"Abdera","Abdera","Abdera",,
7514,"Abrit",,"Marcianopolis",,1793
3807,"Aetolofos, Arsakeio",,,,
3824,"Agia Petra, Didymoteichon","Plotinopolis","Plotinopolis",,
3797,"Agiasma",,,,
3793,"Agios Georgios","Maroneia","Maroneia",,
9371,"Ahtopol","Agathopolis","Agathopolis",,1792
13896,"Akbaş","Sestos","Sestos",,2
6018,"Aksakovo",,"Odessos",,1792
13735,"Aldomirovtsi",,"Serdica",,1793
10253,"Aleko Konstantinov",,"Philippopolis",,2
3817,"Alexandroupolis",,,,
16223,"Alexandrovo tomb, Haskovo",,,,2
3782,"Anakioi Mitrikou","Stryme","Stryme",,
7056,"Aprilovo",,"Nikopolis ad Istrum - Marcianopolis",,1793
9231,"Aprilovo",,"Serdica",,2
7433,"Arkovna",,"Marcianopolis",,1793
14767,"Arnavutköy",,"Byzantion",,2
8089,"Arzus","Arzus","Augusta Traiana",,2
7574,"Asenovets",,"Augusta Traiana",,2
10159,"Asenovgrad",,"Philippopolis",,1793
3799,"Asomatoi",,,,
3803,"Aspropotamo","Maximianopolis","Maximianopolis",,
9280,"Augusta Traiana","Augusta Traiana","Augusta Traiana",,2
13013,"Aytepe",,"Perinthos-Herakleia",,1792
8690,"Aytos",,"Anchialos",,2
13091,"Babyak",,"Pautalia",,2
10737,"Bachkovski Manastir",,"Philippopolis",,1793
14001,"Bagcekioi",,"Sestos",,2
14479,"Bakirköy",,"Byzantion",,2
3841,"Balchik","Dionysopolis","Dionysopolis",,
15904,"Balgarin, Haskovo",,,,2
3842,"Balkanci/Dionysopolis","Dionysopolis","Dionysopolis",,
14184,"Baltaliman","Phidaleia","Byzantion",,2
10772,"Barakovo",,"Pautalia",,1792
16225,"Barbaros","Bisanthe",,,2
8086,"Bashtino",,"Augusta Traiana",,2
6573,"Bata",,"Mesambria",,1792
8895,"Batkun",,"Philippopolis",,2
10547,"Baykalsko",,"Pautalia",,1792
10468,"Begunovci",,"Pautalia",,1792
10138,"Belashtitsa",,"Philippopolis",,1793
13858,"Belasitsa",,"Neine",,1793
8158,"Beli Plast",,"Augusta Traiana",,2
9406,"Belitsa",,"Serdica",,2
11351,"Beljovo",,"Vallis Strimonis medii",,1792
7147,"Belogradets",,"Nikopolis ad Istrum - Marcianopolis",,1793
6045,"Beloslav",,"Odessos",,1792
11023,"Belozem","Parembole","Philippopolis",,1793
6379,"Belyakovets","Nikopolis ad Istrum","Nikopolis ad Istrum",,1793
11231,"Benkovski",,"Philippopolis",,1793
3863,"Bezhanovo",,,,
3848,"Bistrilitsa",,"Municipium Montanensium",,
10802,"Blagoevgrad","Scaptopara","Pautalia",,1792
6956,"Blagoevo",,"Abritus",,1793
7441,"Blaskova",,"Marcianopolis",,1793
10543,"Blateshnitsa",,"Pautalia",,1792
11597,"Bliznak",,"Anchialos",,2
10535,"Boboratsi",,"Pautalia",,1792
10759,"Boboshevo",,"Pautalia",,1792
10843,"Bogdanitsa",,"Philippopolis",,1793
7061,"Bogomilovo",,"Augusta Traiana",,2
14003,"Bolayir","Lysimacheia","Lysimacheia",,2
10833,"Bolyartsi",,"Philippopolis",,1793
10996,"Borets",,"Philippopolis",,1793
10766,"Borovets",,"Pautalia",,1792
10522,"Bosnek",,"Pautalia",,1792
3857,"Botevgrad","Orhanie",,,
14265,"Boyalik",,"Byzantion",,2
8338,"Bozadzhii",,"Augusta Traiana",,2
7448,"Bozveliysko",,"Marcianopolis",,1793
7066,"Braknitsa",,"Nikopolis ad Istrum - Marcianopolis",,1793
10029,"Branipole",,"Philippopolis",,1793
6590,"Brestovec",,"Mesambria",,1792
9790,"Brestovitsa",,"Philippopolis",,1793
10464,"Breznik (region of)",,"Pautalia",,1792
10471,"Breznishki izvor",,"Pautalia",,1792
9361,"Brezovo",,"Philippopolis",,2
9203,"Buhovo",,"Serdica",,2
3839,"Bulgarevo",,"Bizone",,
10312,"Burdapa (Nympheum)","Burdapa","Philippopolis",,2
8499,"Burdipta","Mansio Burdipta","Hadrianopolis",,2
7986,"Burgas",,"Anchilaos",,1792
7999,"Burgaski Bani","Aquae Calidae","Anchilaos",,1792
10454,"Busintsi",,"Pautalia",,1792
3869,"Butovo",,"Emporium Piretensium",,1793
9241,"Butrointsi",,"Pautalia",,2
10443,"Butrointsi",,"Pautalia",,1792
13982,"Büyuk Anafarta","Koila","Koila",,2
14473,"Büyükçekmece",,"Byzantion",,2
9345,"Byaga",,"Philippopolis",,2
7981,"Byal Izvor",,"Augusta Traiana",,2
6609,"Byala Cherkva",,"Nikopolis ad Istrum",,
11542,"Byala Voda",,"Anchialos",,2
8517,"Byalopoljane",,"Hadrianopolis",,2
14559,"Canta",,"Salymbria",,1792
7178,"Carasura","Carasura","Augusta Traiana",,2
8116,"Castra Rubra","Castra Rubra","Augusta Traiana",,2
14650,"Çatalca",,"Byzantion",,2
13010,"Cesmeli",,"Perinthos-Herakleia",,1792
9196,"Chavdar",,"Serdica",,2
13604,"Chekanchevo",,"Serdica",,1793
9464,"Cheparlintsi",,"Serdica",,2
13335,"Cherkovna",,"Marcianopolis",,1793
11044,"Cherna Gora","Kellai","Philippopolis",,1793
7384,"Chernevo",,"Marcianopolis",,1793
9245,"Chervena Mogila",,"Pautalia",,2
15914,"Chervinite skali, Rupite",,,,2
11210,"Chirpan",,"Philippopolis",,1793
11019,"Choba",,"Philippopolis",,1793
8334,"Chokova",,"Augusta Traiana",,2
13028,"Cizmetarla",,"Perinthos-Herakleia",,1792
13037,"Corlu","Tzurulon","Perinthos-Herakleia",,1792
8723,"Dabovo",,"Anchialos",,2
16084,"Dalakova Mogila",,"Augusta Traiana",,2
7559,"Dalboki",,"Augusta Traiana",,2
9287,"Daskalovo",,"Pautalia",,2
8529,"Dazdets",,"Hadrianopolis",,2
10539,"Debeli Lag",,"Pautalia",,1792
11311,"Debrene",,"Vallis Strimonis medii",,1792
13042,"Degirmenkoy",,"Perinthos-Herakleia",,1792
3768,"Delphi","Delphi","Delphi",,
11605,"Dereköy",,"Bizye",,2
8726,"Deultum","Deultum","Anchialos",,2
7149,"Devnya","Marcianopolis","Marcianopolis",,1793
6618,"Dichin",,"Nikopolis ad Istrum",,1793
3825,"Didymoteichon","Plotinopolis","Plotinopolis",,
9460,"Dimitrovgrad",,"Serdica",,2
13422,"Dinkata",,"Philippopolis",,1793
3808,"Dioni",,,,
7116,"Dlazhko",,"Nikopolis ad Istrum - Marcianopolis",,1793
8083,"Dobri Dol",,"Augusta Traiana",,2
7497,"Dobrich (Tolbuhin)",,"Marcianopolis",,1793
7365,"Dobrina",,"Marcianopolis",,1793
8699,"Dobrinovo",,"Anchialos",,2
13216,"Dobroplodno",,"Nikopolis ad Istrum - Marcianopolis",,1793
13235,"Dobrotich",,"Nikopolis ad Istrum - Marcianopolis",,1793
8411,"Dodoparon","Dodoparon","Hadrianopolis","|VER=1|TYP=p|TPQ=0100|TAQ=0300|DET=0|CLD=Gregorian|SPF=0|EPF=0",2
10524,"Dolna Dikanja",,"Pautalia",,1792
13779,"Dolna Gradeshnitsa","Neine","Neine",,1793
3872,"Dolna Lipnitsa","Nikopolis ad Istrum","Nikopolis ad Istrum",,
6122,"Dolni Bliznak","Erite","Erite",,1792
7482,"Dolni Chiflik",,"Marcianopolis",,1793
9295,"Dolni Lozen",,"Serdica",,2
9484,"Dolni Pasarel",,"Serdica",,2
13441,"Dolni Voden",,"Philippopolis",,1793
9554,"Dospat",,,,2
11874,"Doyrentsi",,"Emporium Piretensium",,1793
13148,"Draganovets (Boaza)",,"Nikopolis ad Istrum - Marcianopolis",,1793
11906,"Draganovo",,"Nikopolis ad Istrum",,1793
10492,"Dragichevo",,"Pautalia",,1792
9428,"Dragoman",,"Serdica",,2
8429,"Duganovo",,"Hadrianopolis",,2
8236,"Dunavtsi",,"Augusta Traiana",,2
16637,"Duvanlii",,"Philippopolis",,2
3800,"Dymi",,,,
9331,"Dyulevo",,"Philippopolis",,2
11792,"Dyulino",,"Mesambria",,1793
13971,"Eceabat","Madytos","Madytos",,2
16550,"Edirne","Hadrianopolis","Hadrianopolis",,2
9225,"Egeritsa - Mirovo",,"Serdica",,2
10481,"Elovdol",,"Pautalia",,1792
6130,"Emona","Aristaeum","Aristaeum",,
15896,"Enez","Ainos","Ainos",,2
14552,"Eski Eregli",,"Salymbria",,1792
5994,"Evksinograd",,"Odessos",,1792
6949,"Ezerche",,"Abritus",,1793
8118,"Ezerovo",,"Augusta Traiana",,2
6036,"Ezerovo",,"Odessos",,1792
8739,"Fakiya",,"Anchialos",,2
14555,"Fanari",,"Salymbria",,1792
3821,"Feres","Ferai","Ferai",,
8126,"Filevo",,"Augusta Traiana",,2
3811,"Fillyra, Xidia",,,,
10754,"Frolosh",,"Pautalia",,1792
3859,"Gabare",,,,
9424,"Gaber",,"Serdica",,2
7120,"Gabritsa",,"Nikopolis ad Istrum - Marcianopolis",,1793
6760,"Gabrovo",,"Nikopolis ad Istrum",,1793
3849,"Gaganitsa",,"Municipium Montanensium",,
6048,"Galata",,"Odessos",,1792
3798,"Galini, Iasmos",,,,
9558,"Gara Belyovo",,"Philippopolis",,2
9731,"Gara Krichim",,"Philippopolis",,1793
11365,"Garmen (Gotse Delchev)","Nicopolis ad Nestum","Nicopolis ad Nestum",,1792
13912,"Gelibolu","Kallipolis","Kallipolis",,2
3772,"Genisea",,"Topeiros",,
9305,"German",,"Serdica",,2
3866,"Gigen","Oescus","Nikopolis ad Istrum",,
13495,"Gita",,"Augusta Traiana",,1793
3860,"Glava Panega",,,,
10246,"Glavinitsa",,"Philippopolis",,2
3783,"Glyphada","Stryme","Stryme",,
9474,"Godech",,"Serdica",,2
9228,"Golema Rokovitsa",,"Serdica",,2
9452,"Golemo Malovo",,"Serdica",,2
7485,"Golitsa - Pchelnik",,"Marcianopolis",,1793
9572,"Golyam Dol - Varvara",,"Philipppopolis",,2
3861,"Golyama Brestnitsa",,,,
8742,"Golyamo Bukovo",,"Anchialos",,2
11857,"Golyamo Peshtene",,"Vicus Trullensium",,1793
9404,"Golyanovtsi",,"Serdica",,2
10554,"Goranovtsi",,"Pautalia",,1792
6560,"Gorica",,"Mesambria",,1792
3835,"Gorichane",,"Caron Limen",,
11868,"Gorna Beshovitsa",,"Vicus Trullensium",,1793
10905,"Gorna Gradeshnitsa and Ilindentsi","Neine","Vallis Strimonis medii",,1792
6649,"Gorna Oryahovitsa",,"Nikopolis ad Istrum",,1793
10477,"Gorna Sekirna",,"Pautalia",,1792
11359,"Gorna Sušica - Zlatolist",,"Vallis Strimonis medii",,1792
9302,"Gorni Lozen",,"Serdica",,2
10516,"Gorni Rakovec",,"Pautalia",,1792
10457,"Gorni Romantsi - Dolni Romantsi",,"Pautalia",,1792
10147,"Gorni Voden",,"Philippopolis",,1793
6682,"Gorno Botevo",,"Augusta Traiana",,2
8282,"Gorno Izvorovo",,"Augusta Traiana",,2
11348,"Gorno Spančevo",,"Vallis Strimonis medii",,1792
