Record ID,Creator of the record ID ,Creator of the record,Checked,Corpus name,Corpus ID number,Corpus ID numeric,SEG number,Location > ID ,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief decoration,Architectural relief,Figural relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords ID ,Administrative keywords,Formulaic keywords ID ,Formulaic keywords,Honorific keywords ID ,Honorific keywords,Religious keywords ID ,Religious keywords,Epithet > ID ,Epithet >,Collective group names ID ,Collective group names,Geographic names ID ,Geographic names,Imperial titulature,Currency,Person > ID ,Person >,Visual documentation
2409,2,"Janouchova, Petra",Yes,I Aeg Thrace,67,10067,,3767,Abdera - Abdera - Abdera,POINT(24.9714088 40.9352054),1 Certain,,No,N/A,No,Stone,Marble,,Architectural feature,1 Intact,1 Relief,1 Architectural / Ornamental,Floral motive,,sarcophagus,Yes,100,199,Roman,2,,No,Prose,,Irregular,Private,,Funerary,,5,2663|1856|1846,Bouleutes|Tamias|Polis,1927|1919|1930,"Mnema,Mneme|Chaire|Parodita,Parodeita",,,,2297,Abderites,,No,Yes,3934,"Aga[th]emeris, child of, partner of, grandchild of",,,,,
7530,1793,"Kobierska, Marketa",Yes,IG Bulg 2,872,30872,,7514,Abrit - - Marcianopolis,POINT(27.7957106 43.9085601),2 Vicinity,,No,N/A,No,Stone,Limestone,,Architectural feature,7 Drawing,1 Relief,1 Architectural / Ornamental,Altar,,,Yes,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,10,,1930|1919,"Parodita,Parodeita|Chaire",,6497,theoi katachthoneioi,,,,No,No,7532,"Zeines, child of Zordesiosos, partner of, grandchild of",,,,,,
13488,1793,"Kobierska, Marketa",Yes,IG Bulg 5,5584,75584,,9280,Augusta Traiana - Augusta Traiana - Augusta Traiana,POINT(25.6878591 42.3887265),1 Certain,Found in village of Ptaceklinitsa south-east of Augusta Traiana,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,2 Figural,,Other > notes,gladiator,Yes,,,Roman,,,No,Prose,Roman style,Irregular,Private,,Funerary,,2,,3441|1921|1919|1930,"Mneias|Charin|Chaire|Parodita,Parodeita",,,,,,No,No,,,,,,,,,
14787,2,"Janouchova, Petra",Yes,IK Byzantion,268,95268,,14479,Bakirköy - - Byzantion,POINT(28.8241067 40.9655364),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,9 Undeterminable,1 Relief,2 Figural,,,,No,1,199,Roman,1|2,Doric,No,Prose,,Irregular,Private,,Funerary,,7,,1932|1927|1921|1919|1930,"Sema|Mnema,Mneme|Charin|Chaire|Parodita,Parodeita",,,,,,No,No,15277|15279,"Zotichos, child of Milon, partner of, grandchild of|Milon, child of, partner of Eia, grandchild of",,,,,,,
10807,1792,"Ctibor, Jan",Yes,IG Bulg 4,2237,62237,,10802,Blagoevgrad - Scaptopara - Pautalia,POINT(23.0788422 42.0135909),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,,,Roman,,,No,Prose,,Irregular,Private,,Dedicatory|Funerary,???,6,,1928|1920|1930,"Mnemeion|Chairete|Parodita,Parodeita",,,,,,No,No,10808,"Loukianos, child of Loukios, partner of, grandchild of",,,,,,,
9240,2,"Janouchova, Petra",Yes,IG Bulg 4,2109,62109,,9241,Butrointsi - - Pautalia,POINT(22.7426434 42.8508622),2 Vicinity,"Bekrin grob near the village, not precisely in a mound, but the place name could be indication, Vasiliev, BIAB (Izvestia na balgarski archaoligicheski institut) 14, 1940/42, 266, fig. 359",No,Funerary,Yes,Stone,Marble,,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,,,,Yes,,,Roman,,,No,Prose,,Irregular,Private,,Funerary,,4,,1930|1920,"Parodita,Parodeita|Chairete",,,,,,No,No,9243,"Loukios, Aufidios, child of, partner of, grandchild of",,,,,,,
14795,2,"Janouchova, Petra",Yes,IK Byzantion,275,95275,,14473,Büyükçekmece - - Byzantion,POINT(28.5896873 41.0213551),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,9 Undeterminable,1 Relief,2 Figural,,,,No,-30,284,Roman,-1|1|2|3,,No,Prose,,Irregular,Private,,Funerary,,7,,1927|1921|1920|1930,"Mnema,Mneme|Charin|Chairete|Parodita,Parodeita",,,,,,No,No,15299,"Eia, child of Heliades, partner of, grandchild of",,,,,,,
14902,2,"Janouchova, Petra",Yes,IK Byzantion,381,95381,,14473,Büyükçekmece - - Byzantion,POINT(28.5304642 41.0649216),2 Vicinity,,No,N/A,No,Stone,,,Stele,9 Undeterminable,4 N/A,,,,stele with sarcophagus,No,212,250,Roman,3,,No,Prose,,Irregular,Private,,Funerary,,7,1846,Polis,1919|1930|1933,"Chaire|Parodita,Parodeita|Stele",,,,,,No,Yes,15523,"Aurelia, Loukia, child of Aurelios, partner of Satyrnilos, grandchild of",,,,,,
12995,1792,"Ctibor, Jan",Yes,Perinthos-Herakleia,287,80287,,13010,Cesmeli - - Perinthos-Herakleia,POINT(27.8328323 41.0376069),1 Certain,"300m SE of the village, on a hill, where was an ancient cemetery",No,N/A,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,100,300,Roman,2|3,,No,Prose,,Irregular,Private,,Funerary,,3,,1930,"Parodita,Parodeita",,2732,Hades,,,,No,No,,,,,,,,
11228,1793,"Kobierska, Marketa",Yes,"IG Bulg 3,1",1549|5557,41549,,11210,Chirpan - - Philippopolis,POINT(25.32641 42.20088),1 Certain,,No,N/A,No,Stone,Limestone,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Base,,,Yes,,,,,,No,Prose,,Irregular,Uncertain,,,,3,11580,Polemos,1930,"Parodita,Parodeita",,,,,,No,No,,,,,,,,
