Record ID,Personal name,Gender,Ethnicity,Roman onomastics,LPGN date,Parissaki date,Source check,Author or Creator >
16149,"(emperor Antoneinus)","Male","Roman",,,,"Epigraphic corpus","2"
16136,"(emperor Commodus)","Male","Roman",,,,"Epigraphic corpus","2"
8016,"(emperor Hadrianus)","Male","Roman",,,,"Epigraphic corpus","2"
8020,"(emperor Nerva)","Male","Roman",,,,"Epigraphic corpus","2"
8075,"(emperor Septimius Severus)","Male","Roman",,,,"Epigraphic corpus","2"
8018,"(emperor Traianus)","Male","Roman",,,,"Epigraphic corpus","2"
16147,"(emperor Vespasianus)","Male","Roman",,,,"Epigraphic corpus","2"
8103,"(king Rhaskuporis I.)","Male","Thracian",,,,"Dana Onomasticon 2014","2"
8105,"(king Rhoimetalkas I.)","Male","Thracian",,,,"Dana Onomasticon 2014","2"
8101,"(king Rhoimetalkas II.)","Male","Thracian",,,,"Dana Onomasticon 2014","2"
14176,"Ababos","Male","Uncertain",,,,,"2"
7,"Abaskanthos / Abaskantos","Male","Greek",,,,"LGPN","1793"
8,"Abderion","Male","Greek",,,,"LGPN","2"
9,"Abezelmis","Male","Thracian",,,,"Epigraphic corpus","2"
7887,"Abidios","Male","Uncertain",,,,,"2"
15415,"Aboullios","Male","Uncertain",,,,,"2"
2689,"Abratis","Female","Greek",,,,"LGPN","2"
10,"Achillas","Male","Greek",,,,"LGPN","2"
11,"Achilleus","Male","Greek",,,,"LGPN","2"
3207,"Ada","Female","Greek",,,,"LGPN","2"
12,"Adamas","Male","Greek",,,,"LGPN","2"
15466,"Adea","Female","Greek",,,,"LGPN","2"
15795,"Adrestos","Male","Greek",,,,"LGPN","2"
10275,"Affe","Ambiguous","Roman",,,,"Epigraphic corpus","2"
13,"Affia","Female","Greek",,,,"LGPN","2"
10254,"Afous","Male","Uncertain",,,,"LGPN","2"
2765,"Afrodeisia","Female","Greek",,,,"LGPN","2"
14,"Afrodeisios","Male","Greek",,,,"LGPN","2"
14543,"Afrodisios","Male","Greek",,,,"LGPN","2"
16422,"Afrodito","Female","Greek",,,,"LGPN","2"
16617,"Afyktolis","Male","Uncertain",,,,,"2"
14488,"Agalleas","Male","Greek",,,,"LGPN","2"
16,"Agapenor","Male","Greek",,,,"LGPN","2"
17,"Agasikleia","Female","Greek",,,,"LGPN","2"
14539,"Agathangelos","Male","Greek",,,,"LGPN","2"
15669,"Agatharchos","Male","Greek",,,,"LGPN","2"
18,"Agathemeris","Female","Greek",,,,"LGPN","2"
19,"Agathemeros","Male","Greek",,,,"LGPN","2"
