Heurist_ID,Name,Century,StartYR,EndYR,Modern name,Ancient Name Region
2273,Aurelios,3,200,300,Tvarditsa,Caron Limen
2282,Aurelios,3,222,235,Gorichane,Caron Limen
2285,Aurelios,,,,Kavarna,Bizone
2285,Aurelios,,,,Kavarna,Bizone
2413,Aurelios,3,200,299,Abdera,Abdera
2435,Aurelios,,,,Bulgarevo,Bizone
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2535,Aurelios,3,212,250,Balchik,Dionysopolis
2581,Aurelios,,,,Balchik,Dionysopolis
2581,Aurelios,,,,Balchik,Dionysopolis
2587,Aurelios,3,212,300,Balchik,Dionysopolis
2608,Aurelios,3,217,220,Balkanci/Dionysopolis,Dionysopolis
2644,Aurelios,3,218,222,Balchik,Dionysopolis
2647,Aurelios,2|3,193,235,Balchik,Dionysopolis
2655,Aurelios,3,241,244,Balchik,Dionysopolis
2655,Aurelios,3,241,244,Balchik,Dionysopolis
2655,Aurelios,3,241,244,Balchik,Dionysopolis
2655,Aurelios,3,241,244,Balchik,Dionysopolis
2660,Aurelios,3,222,235,Balchik,Dionysopolis
2660,Aurelios,3,222,235,Balchik,Dionysopolis
2673,Aurelios,3,200,299,Maroneia,Maroneia
2674,Aurelios,3,200,299,Maroneia,Maroneia
2712,Aurelios,-2|-1,-199,-1,Maroneia,Maroneia
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2921,Aurelios,3,215,215,Varna,Odessos
2936,Aurelios,3,221,221,Varna,Odessos
2936,Aurelios,3,221,221,Varna,Odessos
2936,Aurelios,3,221,221,Varna,Odessos
2936,Aurelios,3,221,221,Varna,Odessos
2936,Aurelios,3,221,221,Varna,Odessos
2936,Aurelios,3,221,221,Varna,Odessos
