Record ID,Ethnic name,Group Name Category,Origin,Typology of ethnic name,Short summary,Mappable location,Author or Creator >
2297,"Abderites","City","Greek","citizen of a city","citizen of Abdera","p POINT(24.9729109 40.9335844)","2"
13902,"Abydenoi","City","Greek","citizens","citizens of Abydos",,"2"
2576,"Aiginetes","City","Greek","from Aigina",,"p POINT(23.4288597 37.7466253)","2"
16686,"Ainetos","City","Greek",,"from city Ainos",,"2"
2590,"Ainioi","City","Greek","citizens of Ainos",,"p POINT(26.0804029 40.722926)","2"
2299,"Aitoloi","Tribe","Greek","tribe","Aetolians",,"2"
2319,"Akanthios","City","Greek","citizen of Akanthos",,"p POINT(23.880112 40.39975)","2"
13887,"Alopekonesioi","City","Greek","citizens","citizens of Alopekonesos",,"2"
8938,"Amaseus",,"Uncertain",,"uncertain",,"2"
16675,"Amastrianos","City","Greek",,"Amastris, city",,"2"
2578,"Amfipolites","City","Greek","from Amfipolis",,"p POINT(23.8470507 40.8236803)","2"
4806,"Ankyres","City","Greek",,"Ankyra in Galatia",,"2"
16157,"Apameias","City","Greek",,,,"2"
10075,"Ardilenos","Village","Uncertain",,"inhabitant of a village?",,"2"
2022,"Astai","Tribe","Thracian","tribe",,,"2"
1789,"Athenaios","City","Greek","citizens of Athens",,"p POINT(23.7146759 37.9854749)","2"
4794,"Babylonios","City",,"from Babylon",,,"2"
15387,"Bathoneus",,"Uncertain",,"Hekatostys",,"2"
16682,"Bazitenos","Village","Thracian","inhabitant of Bazita","Dana 2014, 28; near Glava Panega",,"2"
7640,"Bazoparenoi","Tribe","Thracian","inhabitants of village Bazopara","near Pizos",,"2"
16673,"Bessoparenoi","Village","Thracian",,,,"2"
7297,"Bithynoi","Region","Uncertain",,,,"2"
8513,"Bosagyrenos","Village","Thracian","inhabitant","place name",,"2"
10321,"Bourdapenos","Village","Thracian","inhabitant","from Bourdapa","p POINT(24.3867302 42.1528733)","2"
7648,"Bousiparenoi","Village","Thracian","inhabitants of Bousipara","near Pizos",,"2"
5756,"Byzantios","City","Greek","citizen","Byzantion",,"2"
2617,"Chalkedonios","City","Greek","citizen of Chalkedon",,"p POINT(29.0218234 40.9835752)","2"
15565,"Dadoparenos","Village","Thracian","from Dadopara, Dodoparon",,,"2"
13904,"Dardaneioi","City","Greek","citizens","citizens of Dardaneion",,"2"
16126,"Dardanis","City","Greek",,,,"2"
14275,"Delkanoi","Village","Thracian","villagers","Delkos",,"2"
15402,"Deuteras","Other","Greek","hekatostys name",,,"2"
15519,"Dionysias","Other","Greek","hekatostys",,,"2"
3351,"Dryai",,"Uncertain","uknown?",,,"2"
3155,"Dryitai","City","Greek","citizens","of Drys","p POINT(25.6845331 40.8604016)","2"
8458,"Dysyrenos","Village","Thracian","inhabitant of Dysyra?",,,"2"
13905,"Elaiousioi","City","Greek","citizens","citizens Elaiousa",,"2"
3071,"Eresenoi","Village","Thracian","citizens?","unknown village, city",,"2"
6907,"Ergissenoi","Village","Thracian",,,,"2"
3886,"Eurysthenides","City","Roman","city","from Eurysthenos",,"2"
13903,"Flabiopoleitai","City","Roman","citizens","citizens of Flabiopolis / Flaviopolis",,"2"
2730,"Galatai","Tribe",,"tribe","Celts from Asia Minor",,"2"
7646,"Gelouparenoi","Village","Thracian","inhabitants of Geloupara","near Pizos",,"2"
8468,"Geupasenos","Village","Thracian",,,,"2"
