Record ID,Personal name,Parent's name,Ethnic name,Partner's name,Grandparent's name,Comments
16150,"16149",,,,,
11999,"11998",,,,,
12082,"11232",,,,,
16137,"16136|2176|2189|10154|2609",,,,,
13036,"13035",,,,,
13030,"13029",,,,,
12004,"12003",,,,,
12010,"12009",,,,,
12088,"12087",,,,,
12018,"12017",,,,,
12084,"12083",,,,,
12081,"12080",,,,,
10804,"10803|2176|2185|2656",,,,,
9747,"8016",,,,,
9777,"9776",,,,,
9775,"9774",,,,,
12014,"12013",,,,,
14918,"14917",,,,,
8017,"8020",,,,,"Roman emperor Nerva (96-98)"
4753,"2175|2206|2261|3325|8075",,,,,
11992,"11991",,,,,
8019,"8018",,,,,
16148,"16147",,,,,
12020,"12019",,,,,
11904,"11903",,,,,
8102,"8101","8103",,"8104","998","son of Rhascouporis II., grandson of Kotys and Rhoimetalkas I."
8106,"8104","998",,"8101","8105","granddaughter of Rhoimetalkas I. and Polemon"
4135,"8","1705",,,,
7080,"9|503",,,,,
4991,"3650","696",,,,
12255,"12254","2374",,,,
12274,"12254","3891",,,,
11218,"11",,,,,
4728,"3207","3197",,,,
8676,"3207",,,"8675",,
6346,"3207",,,,,"freedwoman of Hikesios"
4720,"12","3197",,,,
15468,"15466",,,"15467",,
15796,"15795","774",,,,
15556,"4417|1594",,,,,
15470,"10275","11730",,,,
10277,"10275","10276",,,,
15230,"13","141",,,,
5834,"13","196",,,,
15273,"13","1691",,,,
4379,"2765","395",,,,
3973,"14",,,,,
12420,"12418","141",,"2452",,
16423,"16422",,,,,
16618,"16617","619",,,,
4907,"16",,,,,
6389,"17","1246",,,,
14540,"14539","141",,,,
15670,"15669","1374",,,,
15291,"19","19",,,,
8638,"19",,,,,
5656,"5655",,,,,
5754,"20","10",,,,
5442,"20","20",,,,
5788,"20","116",,,,
5504,"20","128",,,,
5438,"20","141",,"3603",,"husband of Boon Zopyrou, and second wife Toutas Zopyrou, father of Agathenor and Zoudiegiptous"
6037,"20","141",,,,
5837,"20","3318",,,,
5742,"20","196",,"160",,"husband of Arete, daughter of Hellen, father of Hellen"
5886,"20","196",,"3387",,
5492,"20","2287",,"1632",,"husband of Thebais, daughter of Hellen"
6090,"20","969",,,,
5766,"20","1150",,,,
5758,"20","1222",,,,
6065,"20","5767",,,,
5971,"20","1702",,,,
5559,"20","1739",,,,
9876,"21",,,,,
4885,"22","451","4232",,,
12833,"12832",,,,,
12194,"23","141",,,,
4406,"23",,,,,
4173,"24",,,,,
14437,"25","25","14436",,,
5648,"25","2929",,,,
4796,"25",,,,,
12307,"12306",,,,,
16259,"26","1640",,"16258",,
3912,"3913","3949",,,,
3934,"3957",,,,,
12188,"12186","12187",,,,
15181,"15178","15180",,,,
6845,"27",,,,,
6444,"29","1343",,,,
6323,"29",,,"360",,
12198,"12197","135",,,,
11977,"11976","4437",,,,
14277,"14276","14276",,,,
3969,"2431",,,,,
13920,"2176|2431",,,"2997",,
7341,"3714",,,,,
5591,"5595","141",,,,
5548,"32","134",,,,
4455,"32","135",,,,
5770,"32","196",,,,
5776,"32","1119",,,,
5875,"32","1119",,,,
11720,"32",,,,,
11816,"11815","971",,,,
11537,"33","2211",,,,
10229,"35|61","8232",,,,
10600,"35","269",,,,
15297,"35|2997",,,,,
16245,"35|1429",,,,,
7017,"35|7016",,,,,
9412,"9411|2176",,,,,
9063,"2181|9062",,,,,
6157,"2181|6156",,,,,
13978,"2181|140",,,"13979",,
9894,"2181|9893",,,,,
5283,"2181|2204|2261",,,,,
9779,"2181","122",,,,
4470,"2181","272",,,,
13163,"2181","13162",,,,
11918,"2181","11917",,,,
10577,"2181","3891",,,,
13989,"2181",,,,,
6740,"2181|6739",,,,,
7076,"2181|456",,,,,
4591,"2181|556",,,,,
9629,"2181|4580",,"9628",,,"ho Thyateirenos"
12465,"2181|12464",,,,,
13662,"2181|13661",,,,,
5284,"2181|2233",,,,,
6917,"2181|6916",,,,,
7526,"2181|7525",,,,,
6164,"2181|990",,,,,
9179,"2181|998",,,,,
11240,"2181|2722",,,,,
10002,"2181|1048",,,,,
13175,"2181|3107",,,,,
6158,"2181|2241",,,,,
4498,"2181|3178",,,,,
6607,"2181|1181",,,,,
10549,"2181|1192",,,,,
12915,"2181|1196",,"12914",,,
13104,"2181|1223",,,,,
10882,"2181|10881",,,,,
16210,"2181|2243",,,,,
7529,"2181|7528",,,,,
13402,"2181|1348",,,,,
7400,"2181|1377",,,,,
10459,"2181|10458",,,,,
10073,"2181|1757",,,,,
12374,"12313|12373",,,"1629",,
10415,"10414",,,,,
10903,"2182|274",,,,,
8980,"2182",,,,,
13252,"2182|12360",,,,,
4914,"37","37",,,,
15444,"15443","1297",,,,
16596,"16595",,,,,
14446,"14445","572",,,,
8054,"40","1372",,,,
5787,"40","1702",,,,
8056,"42",,,,,
14028,"43","1646",,,,
12371,"12370","2229",,,,
8936,"45",,,,,
8644,"46","581",,,,
12277,"12276","196",,,,
4205,"50|4204",,,,,
4271,"50","4270",,,,
14235,"14234","141",,,,
15371,"14234","647",,,,
9759,"9758","2272",,,,
4539,"2855","1344",,"2287",,
6711,"53","2287",,,,
11674,"11379",,,"10906",,
11380,"11379",,,,,
4300,"2723","566",,,,
7836,"2183","2241",,,,
13384,"2183","2241",,,,
4891,"2212","2258",,,"2277",
6744,"6743","2177",,,,
12951,"12950",,,,,
8892,"55","1169",,,,
4647,"55",,,,,
15367,"15366","56",,,,
15368,"56","15366",,,"56",
7332,"56","56",,,,
8198,"56","168",,,,
16034,"56","212",,,,
8349,"56","438",,,,
15365,"56","462",,,,
12514,"56","476",,"2541",,
10140,"56","683",,,,
15307,"56","792",,,,
5752,"56","842",,,,
7310,"56","2688",,,,
11287,"56","1403",,,,
15875,"56","10906",,,,
14101,"56","1453",,,,
4670,"56","1593",,,,
8211,"56","1611",,,,
11423,"56","1725",,,,
4444,"56",,,,,
4915,"56",,,,,"Undeterminable, whether personal name, or parent's name"
6239,"56",,"2007",,,
7168,"56|7167",,,,,
4576,"4575|4577","2882",,,,
5688,"5687",,,,,
7831,"59|1373",,,,,
15684,"15683","880",,,,
10250,"62",,,,,
9903,"64",,,,,
3877,"65","390",,,,
12266,"12264","12265",,,,
15685,"67","135",,,,
9560,"9559",,,,,
13965,"69",,,,,
16679,"16678",,,,,
15847,"15846","679",,,,
16714,"16713",,,,,
