Record ID,Geographic name,Geographic Type,Type of geographical entity,Short summary,Mappable location,Date,Author or Creator >
2093,"Abdera","Settlement","city","modern Avdira","p POINT(24.9514602 40.9814734)",,"2"
2699,"Aigyptos","Area","state","modern Egypt","p POINT(31.2085533 30.0863254)",,"2"
2094,"Ainos","Settlement","city","modern Enez","p POINT(26.084574 40.725024)",,"2"
2059,"Anchialos","Settlement","city","modern Pomorie","p POINT(27.6155704 42.5680485)",,"2"
2731,"Apameia","Settlement","city","modern Dinar","p POINT(30.1540375 38.0610674)",,"2"
3421,"Apros / Apron","Area","unknown place",,,,"2"
9168,"Askanie","Settlement","city","port near Nikaia, Bithynia","p POINT(29.719743 40.429524)",,"2"
2090,"Athenai","Settlement","city","Athens","p POINT(23.7293097 37.9837155)",,"2"
2062,"Augusta Traiana (Beroe)","Settlement","city","Stara Zagora","p POINT(25.6344644 42.4257769)",,"2"
3437,"Babylon","Settlement","city state",,"p POINT(52.6722336 36.5478455)",,"2"
3152,"Barilon?","Settlement","village","otherwise unknown",,,"2"
7629,"Bazopara","Settlement","Thracian village","near Pizos",,,"2"
16641,"Belana Praseon","Area",,"unknown location in Thrace",,,"2"
7636,"Bousipara","Settlement","Thracian village","near Pizos",,,"2"
2105,"Byzantion","Settlement","city",,"p POINT(28.9783589 41.0082376)",,"2"
6854,"Dakia","Area","province","Dacia",,,"2"
2089,"Delphi","Settlement","city",,"p POINT(22.4940617 38.4800567)",,"2"
2065,"Dionysopolis","Settlement","city","Balchik","p POINT(28.1617188 43.4269047)",,"2"
2066,"Diospolis","Settlement","city",,,,"2"
16088,"Discodouraterae","Settlement","settlement","emporion in Thrace",,,"2"
8413,"Dodoparon","Settlement","place","settlement in Thrace","p POINT(26.3414383 42.2141841)",,"2"
16684,"Dourostorum","Settlement","city","Silistra","p POINT(27.2671901 44.1147271)",,"2"
2701,"Eleusis","Settlement","city","Eleusis near Athens","p POINT(23.5412121 38.0422104)",,"2"
16487,"Ergiske","Area","area","area in Thrace, unknown",,,"2"
2702,"Europa","Area","area, continent","Europe",,,"2"
