Record ID,Ethnic name,Group Name Category,Origin,Typology of ethnic name,Short summary,Mappable location,Author or Creator >
2297,"Abderites","City","Greek","citizen of a city","citizen of Abdera","p POINT(24.9729109 40.9335844)","2"
13902,"Abydenoi","City","Greek","citizens","citizens of Abydos",,"2"
3396,"Achaioi","Tribe","Greek","Tribe association",,,"1793"
2576,"Aiginetes","City","Greek","from Aigina",,"p POINT(23.4288597 37.7466253)","2"
16686,"Ainetos","City","Greek",,"from city Ainos",,"2"
2590,"Ainioi","City","Greek","citizens of Ainos",,"p POINT(26.0804029 40.722926)","2"
2299,"Aitoloi","Tribe","Greek","tribe","Aetolians",,"2"
2319,"Akanthios","City","Greek","citizen of Akanthos",,"p POINT(23.880112 40.39975)","2"
12043,"Alexandreis","City","Greek","citizens of a city","Citizens of Alexandria, or political division",,"1792"
13887,"Alopekonesioi","City","Greek","citizens","citizens of Alopekonesos",,"2"
8938,"Amaseus",,"Uncertain",,"uncertain, maybe from Amasia?",,"2"
16675,"Amastrianos","City","Greek",,"Amastris, city",,"2"
2578,"Amfipolites","City","Greek","from Amfipolis",,"p POINT(23.8470507 40.8236803)","2"
14978,"Anchialeos/oi","City","Greek","citizens of o city","citizen(s) of Anchialos",,"1792"
4806,"Ankyres","City","Greek",,"Ankyra in Galatia",,"2"
5388,"Antiocheus","City","Greek",,"from Antiocheia",,"2"
16157,"Apameias","City","Greek",,,,"2"
6178,"Apolloniates","City","Greek",,"from Apollonia ","p POINT(27.6889801 42.4138253)","1792"
10075,"Ardilenos","Village","Uncertain",,"inhabitant of a village?",,"2"
3019,"Asianoi","Region","Greek",,,,"2"
10148,"Assyrios","Region",,,,,"1793"
2022,"Astai","Tribe","Thracian","tribe",,,"2"
1789,"Athenaios","City","Greek","citizens of Athens",,"p POINT(23.7146759 37.9854749)","2"
13303,"Attikos","Region","Greek",,,,"1793"
4794,"Babylonios","City",,"from Babylon",,,"2"
2274,"Barbaroi","Other",,"of a foreign origin","collective name",,"1792"
15387,"Bathoneus",,"Uncertain",,"Hekatostys",,"2"
16682,"Bazitenos","Village","Thracian","inhabitant of Bazita","Dana 2014, 28; near Glava Panega",,"2"
7640,"Bazoparenoi","Tribe","Thracian","inhabitants of village Bazopara","near Pizos",,"2"
10902,"Bdekyrenoi","Village","Thracian",,,,"1793"
10858,"Bendiparoi","Village","Thracian",,,,"1793"
16673,"Bessoparenoi","Village","Thracian",,,,"2"
7297,"Bithynoi","Region","Uncertain",,,,"2"
7992,"Bizyenos","City","Greek",,"from Bizye, now Vize in Turkey","p POINT(27.7631378 41.574875)","2"
10724,"Bolbabrienos","Village","Thracian",,"inhabitans of the village Bolbabria, near Pautalia",,"1792"
8513,"Bosagyrenos","Village","Thracian","inhabitant","place name",,"2"
10321,"Bourdapenos","Village","Thracian","inhabitant","from Bourdapa","p POINT(24.3867302 42.1528733)","2"
7648,"Bousiparenoi","Village","Thracian","inhabitants of Bousipara","near Pizos",,"2"
10894,"Brentoparoi","Village","Thracian",,,,"1793"
5756,"Byzantios","City","Greek","citizen","Byzantion",,"2"
2617,"Chalkedonios","City","Greek","citizen of Chalkedon",,"p POINT(29.0218234 40.9835752)","2"
5383,"Chersoneneites","Region","Greek",,"from Chersonesos","p POINT(26.50177 40.3863049)","2"
