Record ID,Geographic name,Geographic Type,Type of geographical entity,Short summary,Mappable location,Date,Author or Creator >
2093,"Abdera","Settlement","city","modern Avdira","p POINT(24.9514602 40.9814734)",,"2"
7085,"Abritus","Settlement","city","Abrittus","p POINT(26.5417788 43.5239399)",,"1793"
11635,"Adramyt(t)ion","Settlement","unknown settlement",,,,"1793"
2699,"Aigyptos","Area","state","modern Egypt","p POINT(31.2085533 30.0863254)",,"2"
2094,"Ainos","Settlement","city","modern Enez","p POINT(26.084574 40.725024)",,"2"
11644,"Akras","Settlement","settlement in Thrace",,,,"1793"
2059,"Anchialos","Settlement","city","modern Pomorie","p POINT(27.6155704 42.5680485)",,"2"
2731,"Apameia","Settlement","city","modern Dinar","p POINT(30.1540375 38.0610674)",,"2"
7625,"Apoulia","Area","region in Italy",,"p POINT(17.1011931 40.7928393)",,"1793"
3421,"Apros / Apron","Area","unknown place",,,,"2"
12856,"Argaios","Mountain","mountain","mountain in Kappadokia",,,"1792"
9450,"Argedauon","Settlement","City?",,,,"1792"
11634,"Arseos","Settlement","unknown",,,,"1793"
12023,"Asia","Area","provincia",,,,"1792"
9168,"Askanie","Settlement","city","port near Nikaia, Bithynia","p POINT(29.719743 40.429524)",,"2"
13040,"Astike","Area","strategia","Strategia (military district) in the region of Perinthos","p POINT(27.9217529 40.9840449)",,"1792"
2090,"Athenai","Settlement","city","Athens","p POINT(23.7293097 37.9837155)",,"2"
11533,"Athioutike (strategia)","Area","military district",,,,"1792"
3002,"Attike","Area","Attica",,"p POINT(23.8952637 38.0264587)",,"2"
2062,"Augusta Traiana (Beroe)","Settlement","city","Stara Zagora","p POINT(25.6344644 42.4257769)",,"2"
3437,"Babylon","Settlement","city state",,"p POINT(52.6722336 36.5478455)",,"2"
3152,"Barilon?","Settlement","village","otherwise unknown",,,"2"
13057,"Bathonea","River","river","River in the region of Selymbria",,,"1792"
7629,"Bazopara","Settlement","Thracian village","near Pizos",,,"2"
16641,"Belana Praseon","Area",,"unknown location in Thrace",,,"2"
11532,"Bioletike (strategia)","Area","military district",,,,"1792"
12053,"Bithynia","Area","area","Bithynia",,,"1792"
7636,"Bousipara","Settlement","Thracian village","near Pizos",,,"2"
2105,"Byzantion","Settlement","city",,"p POINT(28.9783589 41.0082376)",,"2"
12051,"Chartagenne","Settlement","city","Karthago","p POINT(10.3329494 36.8625853)",,"1792"
2780,"Chersonesos","Area","area",,,,"2"
6854,"Dakia","Area","province","Dacia",,,"2"
10811,"Debelt","Settlement","town","Debelt","p POINT(27.2673627 42.3917743)",,"1792"
2089,"Delphi","Settlement","city",,"p POINT(22.4940617 38.4800567)",,"2"
2065,"Dionysopolis","Settlement","city","Balchik","p POINT(28.1617188 43.4269047)",,"2"
2066,"Diospolis","Settlement","city",,,,"2"
16088,"Discodouraterae","Settlement","settlement","emporion in Thrace",,,"2"
8413,"Dodoparon","Settlement","place","settlement in Thrace","p POINT(26.3414383 42.2141841)",,"2"
16684,"Dourostorum","Settlement","city","Silistra","p POINT(27.2671901 44.1147271)",,"2"
11529,"Dresapaike (strategia)","Area","military district",,,,"1792"
12858,"Efesos","Settlement","city",,"p POINT(27.3370743 37.9404069)",,"1792"
10899,"Eitrizene","Area","komarchia",,,,"1793"
2701,"Eleusis","Settlement","city","Eleusis near Athens","p POINT(23.5412121 38.0422104)",,"2"
13565,"Emporion Thouidai","Settlement","settlement",,"p POINT(26.322813 42.6819937)",,"1793"
16487,"Ergiske","Area","area","area in Thrace, unknown",,,"2"
2702,"Europa","Area","area, continent","Europe",,,"2"
3454,"Galatia","Area","place?","in Asia Minor",,,"2"
7624,"Geloupara","Settlement","Thracian village","near Pizos",,,"2"
2164,"Hadrianopolis","Settlement","city","Edirne","p POINT(26.5557145 41.6771297)",,"2"
2162,"Haimos","Mountain","mountain range","Stara Planina","p POINT(25 43.25)",,"2"
3348,"Hebros","River","river","Maritsa",,,"2"
2700,"Hellas","Area","region","Greece","p POINT(22.835083 38.5266816)",,"2"
2135,"Herakleia Pontica","Settlement","city","Karadeniz Ereğli","p POINT(31.42026 41.279909)",,"2"
2122,"Istros","River","river","lover part of Danube","p POINT(26.8742272 44.0984174)",,"2"
2068,"Kabyle","Settlement","city",,"p POINT(26.4784397 42.5474649)",,"2"
