Record ID,Religious keywords,Origin,Religious Category,Short summary,Author or Creator >
3745,"Acheron",Greek,Deity,"one of the five rivers of the Greek underworld",2
2691,"Agonothetes",Greek,Religious Practice: Role,"president of sacred games",2
9308,"Alfios",Greek,Deity,"heros of the river Alpheus",2
2682,"Anoubis",,Deity,"Egyptian god",2
1858,"Aphrodite",Greek,Deity,"Aphrodite is the Greek goddess of love, beauty, pleasure, and procreation",2
1860,"Apollo",Greek,Deity,"Apollon",2
8292,"archibassara",Greek,Religious Practice: Role,"leader of Bacchanals",2
3089,"archiereia",Greek,Religious Practice: Role,"the office of the arch-priest, chief-priest",1792
1862,"archiereus",Greek,Religious Practice: Role,"arch-priest, chief-priest",2
8290,"archimystes",Greek,Religious Practice: Role,"chief of the mystae",2
1861,"Ares",Greek,Deity,"God of war and warfare",2
1863,"Artemis",Greek,Deity,"goddess of chastity, virginity, the hunt, the moon, and the natural environment",2
6225,"Asklepeion",Greek,Religious Practice: Place,"temple of Asclepius",2
1864,"Asklepius",Greek,Deity,"god of medicine",2
1865,"athanatos",Greek,Epithet,"eternal, undying",2
1866,"Athena",Greek,Deity,"goddess of wisdom, courage, inspiration, civilization, law and justice",2
12151,"bakcheion",Greek,Religious Practice: Role,"congregation of Bacchic worshippers; Bacchic revelry",1792
2479,"Bakchos",Greek,Deity,"epithet of Dionysos",2
1868,"bomos",Greek,Religious Practice: Place,"an altar",2
14188,"Bosporia",Greek,Religious Practice: Activity,"Bosporian festival",2
6799,"Charites",Greek,Deity,"Graces, were three goddesses of grace, beauty, adornment, joy, mirth, festivity, dance and song",2
12908,"christianos",,Religious Practice: Role,"Christian",1792
3966,"Christos",,Deity,"Jesus Christ",2
12868,"daimon",Greek,Deity,"god, goddess",1792
1869,"Demeter",Greek,Deity,"goddess of the harvest and agriculture",2
7410,"Dikaios",Greek,Epithet,"The name of a god (in Anchilaos); observant of duty to gods and men, righteous",2
2303,"Dionysia",Greek,Religious Practice: Activity,"festival of Dionysus",2
2593,"Dionysion",Greek,Religious Practice: Place,"temple of Dionysos",2
1870,"Dionysus",Greek,Deity,"god of the grape harvest, winemaking and wine, of ritual madness, fertility, theatre and religious ecstasy",2
1871,"Dioskuroi",Greek,Deity,"twin demi-gods",2
3340,"Dis Manibus",Roman,Deity,"""for the ghost-gods""",2
3123,"Erato",Greek,Deity,"The Muse of lyric poetry, especially love and erotic poetry.",2
1872,"Eros",Greek,Deity,"god of love",2
9152,"Eumarides",Greek,Deity,"a local hero in Apollonia",1792
10495,"Gaia",Greek,Deity,"Greek goddess of the Earth",1792
8098,"Ge",Greek,Deity,"The personified Earth",2
1873,"Great Mother",Greek,Deity,"Megale Meter",2
2732,"Hades",Greek,Deity,"the god of the underworld",2
2683,"Harpokrates",Greek,Deity,"the god of silence, secrets and confidentiality",2
13356,"Hecate",Greek,Deity,"the goddess of magic, witchcraft, the night, moon, ghosts and necromancy",1793
2697,"Helios",Greek,Deity,"god of sun",2
1874,"Hephaestus",Greek,Deity,"god of blacksmiths, craftsmen, artisans, sculptors, metals, metallurgy, fire and volcanoes",2
1875,"Hera",Greek,Deity,"female deity, mother goddess",2
1876,"Heracles",Greek,Deity,"divine hero, son of Zeus",2
1877,"Hermes",Greek,Deity,"Greek God of Trade, Eloquence and Messenger of the Gods",2
16454,"Heroon|Heroion",Greek,Religious Practice: Place,"A shrine belonging to heroos",2
1878,"heros",Greek,Deity,"demi-god, a deceased",2
1879,"Hestia",Greek,Deity,"virgin goddess of the hearth, architecture, and the right ordering of domesticity, the family, and the state",2
