corpusname,corpusidnumeric,personname,ethnicity,gender
I Aeg Thrace,10388,1576,,
IG Bulg 1(2),20047.2,2189|2287,,
Perinthos-Herakleia,80061,1150,,
IG Bulg 2,30506,4868,,
I Aeg Thrace,10138,1318,,
IG Bulg 5,75750,13713,,
Other,100207,2221,,
IG Bulg 5,75719,2189|683,,
IG Bulg 2,30804,2175,,
I Aeg Thrace,10043,1211,,
IK Byzantion,95153,3891,,
Perinthos-Herakleia,80062,12218,,
IK Byzantion,95250,1638,,
I Aeg Thrace,10120,175,,
IK Byzantion,95347,1128,,
"IG Bulg 3,2",51577,6794,,
IG Bulg 1(2),20046,2918,,
IG Bulg 4,61950,2189,,
IG Bulg 5,75809,6550|1162,,
IG Bulg 2,30628,2609,,
IG Bulg 4,62302,196,,
IG Bulg 5,75904,13801|683,,
"IG Bulg 3,1",41430,10165,,
IK Byzantion,95094,1762,,
I Aeg Thrace,10212,136,,
IG Bulg 2,30844,245,,
IK Byzantion,95078,14421,,
IG Bulg 4,62094,2688|3713,,
Other,100054,226,,
IK Byzantion,95242,118,,
IG Bulg 4,62314,1192,,
IK Byzantion,95006,390,,
"IG Bulg 3,1",41438,1194,,
Perinthos-Herakleia,80061,1757,,
IG Bulg 1(2),20083,5368,,
IG Bulg 4,62234,274,,
"IG Bulg 3,1",41040,2177|7042|2229,,
IG Bulg 4,62113,2181|10458,,
"IG Bulg 3,2",51690,5781,,
IG Bulg 1(2),20360,5607,,
IG Bulg 1(2),20156,20,,
IG Bulg 4,62219,2229,,
IG Bulg 2,30666,1629,,
IG Bulg 1(2),20050,756,,
IG Bulg 5,75315,2582|2238,,
IG Bulg 5,75244,3732|11942,,
"IG Bulg 3,2",51873,7042|1616,,
I Aeg Thrace,10460,2458,,
IG Bulg 4,62210,456,,
IG Bulg 2,30619,2173|3689|3690,,
IG Bulg 1(2),20328,615,,
IG Bulg 2,30615,2176|2189|3674|2609,,
"IG Bulg 3,2",51594.2,1017,,
IG Bulg 4,61911,2177|2200|5935,,
IG Bulg 4,61922,249,,
"IG Bulg 3,2",51690,1194,,
I Aeg Thrace,10084,2465,,
Perinthos-Herakleia,80047,2258,,
IG Bulg 4,62312,1404,,
I Aeg Thrace,10337,4614,,
"IG Bulg 3,1",40999,56,,
IG Bulg 2,30700,6610,,
IG Bulg 5,75244,255,,
IG Bulg 1(2),20179.2,1642,,
Other,100139,4128,,
IG Bulg 1(2),20339.3,1095,,
IG Bulg 1(2),20048,2173|2211|5584,,
IK Byzantion,95330,14020,,
IG Bulg 4,62012,2175|3738|2361,,
IG Bulg 4,61983,726,,
IG Bulg 1(2),20050,3375,,
IG Bulg 4,62074,1550,,
IG Bulg 5,75063,3621,,
IG Bulg 4,62056,16619,,
Other,100183,1757,,
IG Bulg 1(2),20193,3891,,
IG Bulg 2,30681,6481|2196|2460,,
IG Bulg 1(2),20139,2287,,
IG Bulg 1(2),20388.2,761,,
IG Bulg 1(2),20047.2,2189|564,,
"IG Bulg 3,2",51827,2176|2189|2261|56|6656,,
IG Bulg 1(2),20202,5014,,
"IG Bulg 3,2",51690,939,,
I Aeg Thrace,10467,2196|1377,,
IG Bulg 4,61955,438,,
IG Bulg 1(2),20047,2189|2932,,
Perinthos-Herakleia,80279,3891,,
IG Bulg 1(2),20134,4399|2215,,
IG Bulg 4,62337,1194,,
IG Bulg 1(2),20014,2189|718,,
"IG Bulg 3,2",51803,1221,,
IK Byzantion,95141,5938,,
IK Byzantion,95231,2287,,
