personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
100,432,,,,,
10012,76,,,,,
10012,,,,,,
10012,223,,,,,
10012|14458,,,,,,
1003,2241,,,,,
10030|10031|10032,,,,,,
10034,,,,,,
10036,,,,,,
1007,,,,,,
1008,,,,,,
10080,,,,,,
10085|786,,,,,,
10099,335,,,,,
101,1297,,,,,
1012,196,,,,,
1014,1757,,,,,
1015,184,,,,,
10165,,,,,,
1017,,,,,,
1019,1257,,385,,,
102,102,,,,,
1020,4112,,,,,
1020,141,,,,,
1020,123,,,,,
1020,2287,,,,,
10203,,,,,,
1023,,,,,,
10260,,2052,,,,
10269,264,,,,,
10275,10276,,,,,
10275,11730,,,,,
1028,,,623,,,
10291,,,,,,
1030,1352,,,,,
10301,,,,,,
10307,,,,,,
10307,,,,,,
1032,9026,,,,,
1033,293,,,,,
10335,,,,,,
10338,,,,,,
10345,521,,,,,
1035,,,,,,
10351,10351,,,,,
10351|643,,,6506,,,
10356,10351,,,,,
10356,,,12491,,,
1036,140,,,,,
10367,2933,,,,,
1037,1136,,,,,
1037,,,1610,,,
10376,414,,,,,
1038,1287,,,,,
104,2558,,,,,
1040,,,,,,
10414,,,,,,
1042,683,,,,,
10422,1646,,,,,
10422,,,,,,
10431,,,,,,
10449,,,,,,
1045,851,,,,,
1046,,,,,,
10478,2241,,403,,,
1048,12174,,,,,
1049,974,,,,,
10493,,,,,,
105,1657,,,,,
10502,,,,,,
10504,,,,,,
10509|5609,,,,,,
1051,,,,,,
10519,1196,,,,,
1052,492,,1559,,,
10530,2173,,,,,
10530,,,,,,
10544,1194,,,,,
1055,1297,,,,,
10572,,,774,,,
1058,1740,,,,,
1059,141,,,,,
106,180,,,,,
10607,,,,,,
1062,,,,,,
10631,,,,,,
1063|522,,,,,,
10637,,,,,,
10639,,,,,,
1064,335,,,,,
10643,,,,,,
10646,,,,,,
10646|10647,,,,,,
10646|3146,,,,,,
1065,860,,,,,
1066,2287,,,,,
10679|3443,,,,,,
1068,16302,,,,,
1068,,,,,,
1068,1152,,,,,
10682,,,,,,
10698,862,,,,,
1070,4359,,,,,
10710,11370,,,,,
10710,,,,,,
1073,1073,,,,,
10738,,,,,,
1074,274,,,,,
10745,274,,,,,
10763,10760,,,,,
10767,654,,,,,
10767,,,654,,,
10777,,,,,,
1078,,,2287,,,
10786,44,,,,,
10791,,,,,,
108,,,774,,,
10803|2176|2185|2656,,,,,,
10825,,,,,,
1085,507,,,,,
1085,,,,,,
1085,6237,,,,,
1085,4852,,,,,
1085,1194,,,,,
1085,1085,,,,,
1085,517,,,,,
1085,497,,,,,
1085,2454,,,,,
1085,7199,,,,,
1085,274,,,,,
1085,247,,,,,
1085,122,,,,,
10852,,,,,,
1086,,,,,,
1087,,,,,,
1087,5428,,,,,
10872,1616,,,,,
1088,,,,,,
1089,,,,,,
10906,10906,,,,,
10906,1039,,,,,
10906,25,,1713,,,
10906,11375,,,,,
10906,3235,,,,,
10906,1683,,,,,
10906,,,,,,
10906,10906,,,2173,,
10906|2211,15928,,,,,
10906|945,,,,,,
1091,,,297,,,
1092,154,,,,,
1092,,,,,,
1092,1183,,,,,
1092,316,,,39,,
1093,,,1696,,,
1093,1493,,,,,
1093,812,,,,,
1093,616,,,,,
10943|1075,,,,,,
1095,15978,,,,,
1095,135,,,,,
1095,297,,,,,
1095,6429,,,,,
1095,15435,,,,,
1095,895,,,,,
1096,141,,,,,
10967,12552,,,,,
10967,,,,,,
10967,387,,,,,
10967,2287,,,,,
10967,2176,,,,,
1097,802,,,141,,
10971,,,,,,
10973,,,,,,
11,,,,,,
110,1757,,,,,
110,,,,,,
1100,8006,,,,,
1101,1101,,,,,
1102,15718,,,,,
11024|11025|11026|11027,,,,,,
11034,,,,,,
1104,226,,,,,
1105,,,,,,
11050,,,,,,
11055,,,,,,
11058,,,9332,,,
1106,1101,,,,,
11061,,,,,,
11070,,,,,,
11072,,,,,,
11077,,,,,,
11086,1194,,,,,
1110,765,,,,,
11102,11118,,,,,
1115,827,,,,,
11157,,,,,,
1117,56,,,,,
11171,,,,,,
1118,4112,,,,,
1119,1546,,,,,
1119,14543,,,,,
1119,85,,,,,
1119,134,,,,,
1119,141,,,,,
1119,196,,3638,,,
1119,456,,,,,
1119,2287,,5955,,,
1119,1119,,,,,
1119,,,,,,
1119,1385,,,,,
112,1413,,,,,
1121,,,,,,
11213,,,,,,
1123,1314,,,,,
11232,,,,,,
11232|2176|2189|2609,,,,,,
11235|686,,,,,,
1124,1663,,,,,
1124,,,,,,
1124,15285,,,,,
1124,1128,,,,,
1124,2177,,,,,
11242,10906,,,,,
11247|1084,,,,,,
11261,10906,,,,,
1127,196,,,,,
1127,318,,,,,
1127,,,,,,
11271|12365|979,,,2452,,,
11271|12458,,,,,,
11276,11277,,,,,
1128,359,,,,,
1128,356,,,,,
1128,15495,,,,,
1128,804,,,,,
1128,1128,,,,,
1128,1146,,,,,
1129,784,,,,,
11291,,,,,,
11294,3891,,,,,
11294,2722,,,,,
11298,,,,,,
1130,224,,,,,
11308,,,,,,
1132,1132,,,,,
11327,8583,,1400,,,
1133,4531,,,,,
1133,14331,,,,,
11332,,,,,,
11334,1150,,,,,
11334,11118,,378,,,
