personkey,inscriptionkey,ethnicity,gender,class
5589,2969,Greek,Female,Grandparent name
5589,2969,Greek,Male,Personal name
5589,2969,Greek,Male,Parent name
15368,14827,Greek,Male,Grandparent name
15368,14827,Greek,Male,Personal name
15368,14827,Greek,Female,Parent name
15515,14897,Greek,Male,Grandparent name
15515,14897,Greek,Male,Parent name
15515,14897,Greek,Male,Personal name
5256,2936,Greek,Female,Personal name
5256,2936,Greek,Male,Grandparent name
5256,2936,Roman,Male,Personal name
5256,2936,Greek,Male,Parent name
11279,11275,Greek,Female,Personal name
11279,11275,Greek,Male,Parent name
11279,11275,Greek,Male,Grandparent name
5797,3500,Greek,Male,Parent name
5797,3500,Greek,Male,Grandparent name
5797,3500,Greek,Female,Personal name
4407,2805,Greek,Male,Partner name
4407,2805,Greek,Female,Personal name
4407,2805,Greek,Male,Grandparent name
4407,2805,Greek,Male,Parent name
9269,9266,Greek,Male,Grandparent name
9269,9266,Greek,Male,Parent name
9269,9266,Greek,Male,Personal name
11778,11770,Greek,Male,Personal name
11778,11770,Greek,Male,Parent name
11778,11770,Greek,Male,Grandparent name
12413,12384,Greek,Male,Personal name
12413,12384,Roman,Female,Parent name
12413,12384,Greek,Female,Grandparent name
11783,11782,Greek,Male,Grandparent name
11783,11782,Greek,Female,Parent name
11783,11782,Greek,Female,Personal name
4164,2574,Greek,Male,Parent name
4164,2574,Greek,Male,Grandparent name
4164,2574,Greek,Male,Personal name
12430,12388,Greek,Male,Grandparent name
12430,12388,Greek,Male,Parent name
12430,12388,Greek,Female,Personal name
12430,12388,Greek,Male,Partner name
5907,5906,Greek,Male,Personal name
5907,5906,Greek,Male,Grandparent name
5907,5906,Greek,Male,Parent name
15413,14842,Greek,Male,Parent name
15413,14842,Greek,Male,Grandparent name
15413,14842,Greek,Female,Personal name
5696,2986,Greek,Male,Parent name
5696,2986,Greek,Male,Personal name
5696,2986,Greek,Male,Grandparent name
5518,3539,Greek,Male,Parent name
5518,3539,Greek,Male,Personal name
5518,3539,Greek,Male,Grandparent name
5518,3539,Greek,Female,Partner name
5872,3377,Greek,Male,Grandparent name
5872,3377,Greek,Male,Parent name
5872,3377,Greek,Male,Personal name
5431,3610,Greek,Male,Grandparent name
5431,3610,Greek,Male,Parent name
5431,3610,Greek,Female,Personal name
11456,11503,Greek,Male,Parent name
11456,11503,Greek,Male,Grandparent name
11456,11503,Greek,Male,Personal name
11741,11739,Greek,Male,Parent name
11741,11739,Greek,Male,Partner name
11741,11739,Greek,Male,Grandparent name
11741,11739,Greek,Female,Personal name
6000,5999,Greek,Female,Parent name
6000,5999,Greek,Male,Grandparent name
6000,5999,Greek,Male,Personal name
6000,5999,Uncertain,Female,Partner name
12409,12383,Greek,Female,Personal name
12409,12383,Greek,Male,Parent name
12409,12383,Greek,Male,Grandparent name
12409,12383,Greek,Male,Partner name
11753,11752,Greek,Male,Grandparent name
11753,11752,Greek,Male,Parent name
11753,11752,Greek,Female,Personal name
