personkey,inscriptionkey,ethnicity,gender,class
5243,2936,Roman,Male,Personal name
5243,2936,Roman,Male,Parent name
5243,2936,Greek,Male,Personal name
13664,13663,Greek,Male,Personal name
13664,13663,Roman,Male,Personal name
12671,12672,Greek,Male,Personal name
12671,12672,Roman,Male,Personal name
13824,13823,Greek,Male,Personal name
13824,13823,Roman,Male,Personal name
13199,13198,Roman,Male,Personal name
13199,13198,Greek,Male,Personal name
5585,2966,Roman,Male,Personal name
5585,2966,Roman,Male,Personal name
5585,2966,Greek,Male,Personal name
5242,2936,Greek,Male,Parent name
5242,2936,Greek,Male,Personal name
5242,2936,Roman,Male,Personal name
4240,8504,Greek,Male,Personal name
4240,8504,Roman,Male,Personal name
4240,8504,Roman,Male,Personal name
4240,8504,Roman,Male,Personal name
4240,8504,Roman,Male,Personal name
4799,3440,Greek,Male,Parent name
4799,3440,Greek,Male,Personal name
4799,3440,Roman,Male,Personal name
5101,2535,Greek,Male,Personal name
5101,2535,Greek,Male,Parent name
5101,2535,Roman,Male,Personal name
5175,2921,Greek,Male,Parent name
5175,2921,Greek,Male,Personal name
5175,2921,Roman,Male,Personal name
5146,2921,Roman,Male,Personal name
5146,2921,Greek,Male,Personal name
14242,14239,Roman,Male,Personal name
14242,14239,Roman,Male,Personal name
14242,14239,Greek,Male,Personal name
5235,2936,Greek,Male,Parent name
5235,2936,Greek,Male,Personal name
5235,2936,Roman,Male,Personal name
6914,6905,Greek,Male,Personal name
6914,6905,Roman,Male,Personal name
4208,2687,Roman,Female,Personal name
4208,2687,Greek,Female,Personal name
11097,11095,Greek,Male,Personal name
11097,11095,Roman,Male,Personal name
5208,2936,Greek,Male,Parent name
5208,2936,Roman,Male,Personal name
5208,2936,Roman,Male,Personal name
5208,2936,Greek,Male,Personal name
12441,12437,Roman,Female,Personal name
12441,12437,Greek,Female,Personal name
12441,12437,Greek,Male,Parent name
12441,12437,Greek,Male,Partner name
12750,12727,Greek,Male,Personal name
12750,12727,Roman,Male,Personal name
10501,12682,Greek,Male,Personal name
10501,12682,Greek,Male,Parent name
10501,12682,Roman,Male,Personal name
4792,7927,Greek,Male,Personal name
4792,7927,Roman,Male,Personal name
4792,7927,Roman,Male,Personal name
5143,2921,Greek,Male,Parent name
5143,2921,Roman,Male,Personal name
5143,2921,Greek,Male,Personal name
4016,2473,Greek,Female,Personal name
4016,2473,Roman,Female,Personal name
12748,12726,Greek,Male,Partner name
12748,12726,Roman,Female,Personal name
12748,12726,Greek,Female,Personal name
5268,2936,Greek,Male,Parent name
5268,2936,Roman,Male,Personal name
5268,2936,Greek,Male,Personal name
11236,11234,Greek,Female,Personal name
11236,11234,Roman,Female,Personal name
10709,10705,Greek,Male,Personal name
10709,10705,Roman,Male,Personal name
13095,13092,Greek,Male,Personal name
13095,13092,Roman,Ambiguous,Personal name
5287,2936,Greek,Male,Parent name
5287,2936,Greek,Male,Personal name
5287,2936,Roman,Male,Personal name
11602,11600,Roman,Male,Personal name
11602,11600,Greek,Male,Personal name
11602,11600,Greek,Male,Personal name
5080,2439,Greek,Male,Personal name
5080,2439,Roman,Male,Personal name
16032,16028,Greek,Male,Personal name
16032,16028,Thracian,Male,Parent name
16032,16028,Roman,Male,Personal name
5288,2936,Greek,Male,Parent name
5288,2936,Greek,Male,Personal name
5288,2936,Roman,Male,Personal name
9529,13772,Roman,Male,Personal name
9529,13772,Greek,Male,Personal name
12588,12567,Roman,Male,Personal name
12588,12567,Greek,Female,Personal name
12588,12567,Greek,Female,Partner name
11200,11196,Greek,Male,Personal name
11200,11196,Roman,Male,Personal name
13891,13885,Roman,Male,Personal name
13891,13885,Roman,Male,Personal name
13891,13885,Greek,Male,Personal name
5252,2936,Greek,Male,Parent name
5252,2936,Greek,Male,Personal name
5252,2936,Roman,Male,Personal name
11956,11953,Thracian,Male,Parent name
11956,11953,Roman,Male,Personal name
11956,11953,Thracian,Male,Personal name
11956,11953,Roman,Male,Personal name
11956,11953,Greek,Male,Personal name
6924,6905,Greek,Male,Personal name
6924,6905,Roman,Male,Personal name
6924,6905,Roman,Male,Personal name
4240,9194,Greek,Male,Personal name
4240,9194,Roman,Male,Personal name
4240,9194,Roman,Male,Personal name
4240,9194,Roman,Male,Personal name
4240,9194,Roman,Male,Personal name
13569,13568,Greek,Male,Personal name
13569,13568,Roman,Male,Personal name
13569,13568,Roman,Male,Personal name
8914,8910,Greek,Male,Personal name
8914,8910,Roman,Male,Personal name
8914,8910,Roman,Male,Personal name
6787,6785,Greek,Male,Personal name
6787,6785,Roman,Male,Personal name
6787,6785,Roman,Male,Personal name
13738,13737,Greek,Male,Personal name
13738,13737,Roman,Male,Personal name
13738,13737,Roman,Male,Personal name
12781,12736,Greek,Male,Personal name
12781,12736,Roman,Male,Personal name
12781,12736,Roman,Male,Personal name
15349,14816,Roman,Male,Personal name
15349,14816,Greek,Male,Personal name
11129,11095,Greek,Male,Personal name
11129,11095,Roman,Male,Personal name
10228,10226,Greek,Male,Personal name
10228,10226,Roman,Male,Personal name
10228,10226,Roman,Male,Personal name
11143,11095,Greek,Male,Personal name
11143,11095,Thracian,Male,Parent name
11143,11095,Roman,Male,Personal name
8473,11682,Greek,Male,Personal name
8473,11682,Roman,Male,Personal name
12435,12390,Greek,Male,Personal name
12435,12390,Greek,Male,Parent name
12435,12390,Roman,Male,Personal name
12435,12390,Roman,Male,Personal name
12490,12475,Greek,Male,Parent name
12490,12475,Roman,Female,Personal name
12490,12475,Greek,Female,Personal name
11257,11251,Greek,Male,Personal name
11257,11251,Roman,Male,Personal name
15557,15551,Roman,Male,Personal name
15557,15551,Greek,Male,Personal name
11141,11095,Thracian,Male,Parent name
11141,11095,Greek,Male,Personal name
11141,11095,Roman,Male,Personal name
12709,12699,Greek,Female,Personal name
12709,12699,Greek,Male,Partner name
12709,12699,Roman,Female,Personal name
7675,7621,Greek,Male,Personal name
7675,7621,Roman,Male,Personal name
7930,7928,Roman,Male,Personal name
7930,7928,Greek,Male,Personal name
4240,3725,Greek,Male,Personal name
4240,3725,Roman,Male,Personal name
4240,3725,Roman,Male,Personal name
4240,3725,Roman,Male,Personal name
4240,3725,Roman,Male,Personal name
6689,6686,Greek,Male,Personal name
6689,6686,Roman,Male,Personal name
6689,6686,Roman,Male,Parent name
4240,9403,Greek,Male,Personal name
4240,9403,Roman,Male,Personal name
4240,9403,Roman,Male,Personal name
4240,9403,Roman,Male,Personal name
4240,9403,Roman,Male,Personal name
12802,12741,Greek,Male,Personal name
12802,12741,Roman,Male,Personal name
12802,12741,Roman,Female,Partner name
5213,2936,Greek,Male,Personal name
5213,2936,Roman,Male,Personal name
5213,2936,Roman,Male,Personal name
5213,2936,Greek,Male,Parent name
10373,10371,Greek,Male,Personal name
10373,10371,Roman,Male,Personal name
10049,10048,Greek,Male,Personal name
10049,10048,Roman,Male,Personal name
5272,2936,Greek,Male,Personal name
5272,2936,Roman,Male,Personal name
5272,2936,Roman,Male,Parent name
4792,13734,Greek,Male,Personal name
4792,13734,Roman,Male,Personal name
4792,13734,Roman,Male,Personal name
12045,12028,Roman,Male,Personal name
12045,12028,Roman,Male,Personal name
12045,12028,Roman,Male,Personal name
12045,12028,Greek,Male,Personal name
5127,2535,Greek,Male,Parent name
5127,2535,Greek,Male,Personal name
5127,2535,Roman,Male,Personal name
14955,14583,Greek,Male,Personal name
14955,14583,Roman,Male,Personal name
14955,14583,Roman,Male,Personal name
8929,8922,Greek,Male,Personal name
8929,8922,Roman,Male,Personal name
6663,6659,Greek,Male,Personal name
6663,6659,Roman,Male,Personal name
6663,6659,Roman,Male,Personal name
8916,8915,Greek,Male,Personal name
8916,8915,Roman,Male,Personal name
8916,8915,Roman,Male,Personal name
4756,3353,Greek,Male,Personal name
4756,3353,Roman,Male,Personal name
11467,11491,Greek,Male,Personal name
11467,11491,Roman,Male,Personal name
5264,2936,Greek,Male,Parent name
5264,2936,Greek,Male,Personal name
5264,2936,Roman,Male,Personal name
13514,13512,Greek,Male,Personal name
13514,13512,Greek,Male,Personal name
13514,13512,Roman,Male,Personal name
9669,9668,Greek,Female,Personal name
9669,9668,Roman,Female,Personal name
14250,14239,Greek,Male,Personal name
14250,14239,Roman,Male,Personal name
14250,14239,Roman,Male,Personal name
14250,14239,Greek,Male,Personal name
14250,14239,Greek,Male,Personal name
4175,2588,Roman,Male,Personal name
4175,2588,Roman,Male,Personal name
4175,2588,Greek,Male,Personal name
5147,2921,Greek,Male,Parent name
5147,2921,Greek,Male,Personal name
5147,2921,Roman,Male,Personal name
5122,2535,Greek,Male,Personal name
5122,2535,Greek,Male,Parent name
5122,2535,Roman,Male,Personal name
4830,9143,Greek,Male,Personal name
4830,9143,Roman,Male,Personal name
15418,14842,Roman,Male,Personal name
15418,14842,Uncertain,Male,Personal name
15418,14842,Greek,Male,Personal name
15276,14786,Greek,Male,Personal name
15276,14786,Roman,Male,Personal name
15276,14786,Roman,Male,Personal name
12350,12323,Greek,Male,Parent name
12350,12323,Greek,Male,Personal name
12350,12323,Roman,Male,Personal name
12350,12323,Roman,Male,Personal name
12350,12323,Roman,Female,Partner name
16139,16134,Roman,Male,Personal name
16139,16134,Roman,Male,Personal name
16139,16134,Greek,Male,Personal name
8217,8193,Greek,Male,Parent name
8217,8193,Greek,Male,Personal name
8217,8193,Roman,Male,Personal name
12594,12569,Roman,Male,Personal name
12594,12569,Greek,Male,Personal name
12594,12569,Greek,Female,Partner name
10510,10508,Greek,Male,Personal name
10510,10508,Roman,Male,Personal name
10501,10499,Greek,Male,Personal name
10501,10499,Greek,Male,Parent name
10501,10499,Roman,Male,Personal name
11183,11182,Greek,Female,Personal name
11183,11182,Roman,Female,Personal name
5298,2936,Greek,Male,Personal name
5298,2936,Roman,Male,Personal name
5088,2535,Greek,Male,Parent name
5088,2535,Greek,Male,Personal name
5088,2535,Roman,Male,Personal name
12296,12295,Greek,Male,Personal name
