personkey,inscriptionkey,ethnicity,gender,class
10558,10556,Greek,Male,Personal name
10558,10556,Thracian,Male,Grandparent name
10558,10556,Thracian,Male,Parent name
9322,9321,Thracian,Male,Parent name
9322,9321,Greek,Male,Personal name
9322,9321,Thracian,Male,Grandparent name
4702,3143,Thracian,Male,Grandparent name
4702,3143,Roman,Male,Personal name
4702,3143,Greek,Male,Parent name
4702,3143,Greek,Male,Personal name
4706,3148,Thracian,Male,Parent name
4706,3148,Greek,Male,Personal name
4706,3148,Thracian,Male,Grandparent name
4706,3148,Roman,Male,Personal name
