personkey,inscriptionkey,ethnicity,gender,class
9249,9247,Greek,Male,Personal name
9249,9247,Thracian,Male,Parent name
7853,7601,Thracian,Male,Parent name
7853,7601,Greek,Male,Personal name
8439,8433,Thracian,Male,Parent name
8439,8433,Greek,Male,Personal name
16616,9729,Greek,Male,Personal name
16616,9729,Thracian,Male,Parent name
13312,13311,Thracian,Male,Parent name
13312,13311,Greek,Male,Personal name
10998,10997,Thracian,Male,Parent name
10998,10997,Greek,Male,Personal name
10270,10266,Thracian,Male,Parent name
10270,10266,Greek,Male,Personal name
16032,16028,Greek,Male,Personal name
16032,16028,Thracian,Male,Parent name
16032,16028,Roman,Male,Personal name
5531,2912,Greek,Male,Personal name
5531,2912,Thracian,Male,Parent name
11956,11953,Thracian,Male,Parent name
11956,11953,Roman,Male,Personal name
11956,11953,Thracian,Male,Personal name
11956,11953,Roman,Male,Personal name
11956,11953,Greek,Male,Personal name
14973,14595,Greek,Male,Personal name
14973,14595,Thracian,Male,Parent name
5633,2972,Greek,Male,Personal name
5633,2972,Thracian,Male,Parent name
11429,11520,Greek,Female,Personal name
11429,11520,Thracian,Male,Parent name
16332,16324,Thracian,Male,Parent name
16332,16324,Greek,Male,Personal name
8087,8085,Thracian,Male,Parent name
8087,8085,Greek,Male,Personal name
11143,11095,Greek,Male,Personal name
11143,11095,Thracian,Male,Parent name
11143,11095,Roman,Male,Personal name
11141,11095,Thracian,Male,Parent name
11141,11095,Greek,Male,Personal name
11141,11095,Roman,Male,Personal name
13780,13778,Thracian,Male,Parent name
13780,13778,Greek,Male,Personal name
10558,10556,Greek,Male,Personal name
10558,10556,Thracian,Male,Grandparent name
10558,10556,Thracian,Male,Parent name
14517,14516,Greek,Male,Personal name
14517,14516,Thracian,Male,Parent name
9844,9838,Greek,Male,Personal name
9844,9838,Thracian,Male,Parent name
8349,8346,Greek,Male,Personal name
8349,8346,Thracian,Male,Parent name
15494,14889,Thracian,Male,Parent name
15494,14889,Greek,Female,Personal name
4841,3257,Thracian,Ambiguous,Parent name
4841,3257,Greek,Ambiguous,Personal name
4145,2562,Greek,Male,Personal name
4145,2562,Thracian,Male,Parent name
8293,8289,Greek,Male,Partner name
8293,8289,Thracian,Male,Parent name
8293,8289,Greek,Female,Personal name
8653,8652,Thracian,Male,Parent name
8653,8652,Greek,Female,Personal name
7476,7470,Thracian,Male,Parent name
7476,7470,Greek,Male,Personal name
15566,15558,Greek,Male,Personal name
15566,15558,Thracian,Male,Parent name
13567,13563,Greek,Male,Personal name
13567,13563,Roman,Male,Personal name
13567,13563,Thracian,Male,Parent name
5164,2921,Roman,Male,Personal name
5164,2921,Greek,Male,Personal name
5164,2921,Thracian,Male,Parent name
16345,16342,Thracian,Male,Parent name
16345,16342,Greek,Male,Personal name
7794,7601,Greek,Male,Personal name
7794,7601,Thracian,Male,Parent name
4514,2834,Greek,Male,Personal name
4514,2834,Thracian,Male,Parent name
7556,7553,Thracian,Male,Parent name
7556,7553,Greek,Male,Personal name
11374,11675,Greek,Male,Personal name
11374,11675,Thracian,Male,Parent name
4785,3424,Greek,Male,Personal name
4785,3424,Thracian,Male,Parent name
10692,10689,Greek,Male,Personal name
10692,10689,Thracian,Male,Parent name
10692,10689,Roman,Male,Personal name
10692,10689,Roman,Female,Partner name
10692,10689,Roman,Male,Personal name
8866,8864,Thracian,Male,Parent name
8866,8864,Roman,Male,Personal name
8866,8864,Greek,Male,Personal name
4674,3065,Thracian,Male,Parent name
4674,3065,Greek,Male,Personal name
13405,13401,Thracian,Male,Parent name
13405,13401,Greek,Female,Personal name
16216,16200,Thracian,Male,Parent name
16216,16200,Greek,Male,Personal name
16216,16200,Roman,Male,Personal name
9322,9321,Thracian,Male,Parent name
9322,9321,Greek,Male,Personal name
9322,9321,Thracian,Male,Grandparent name
5009,3642,Thracian,Male,Parent name
