personkey,inscriptionkey,ethnicity,gender,class
8851,8849,Roman,Male,Personal name
8851,8849,Thracian,Male,Personal name
9904,9900,Greek,Male,Parent name
9904,9900,Roman,Male,Personal name
9904,9900,Thracian,Male,Personal name
8988,8982,Thracian,Male,Personal name
8988,8982,Roman,Male,Personal name
12355,12325,Roman,Male,Personal name
12355,12325,Thracian,Male,Personal name
13411,13410,Roman,Male,Personal name
13411,13410,Roman,Male,Personal name
13411,13410,Thracian,Male,Personal name
4505,3180,Thracian,Male,Personal name
4505,3180,Roman,Male,Personal name
9349,9348,Thracian,Male,Personal name
9349,9348,Roman,Male,Personal name
9349,9348,Roman,Male,Personal name
6915,6905,Thracian,Male,Personal name
6915,6905,Roman,Male,Personal name
11956,11953,Thracian,Male,Parent name
11956,11953,Roman,Male,Personal name
11956,11953,Thracian,Male,Personal name
11956,11953,Greek,Male,Personal name
11956,11953,Roman,Male,Personal name
10267,10266,Thracian,Male,Parent name
10267,10266,Roman,Male,Personal name
10267,10266,Thracian,Male,Personal name
6954,6952,Thracian,Male,Personal name
6954,6952,Roman,Male,Personal name
9051,16202,Thracian,Male,Parent name
9051,16202,Roman,Male,Personal name
9051,16202,Thracian,Male,Personal name
15556,15549,Thracian,Male,Personal name
15556,15549,Roman,Male,Personal name
10944,10942,Roman,Male,Personal name
10944,10942,Thracian,Male,Personal name
10731,10730,Roman,Male,Personal name
10731,10730,Thracian,Male,Personal name
11161,11160,Uncertain,Ambiguous,Partner name
11161,11160,Thracian,Male,Parent name
11161,11160,Roman,Male,Personal name
11161,11160,Thracian,Male,Personal name
6960,6958,Roman,Male,Parent name
6960,6958,Roman,Male,Personal name
6960,6958,Thracian,Male,Personal name
11104,11095,Greek,Male,Parent name
11104,11095,Thracian,Male,Personal name
11104,11095,Roman,Male,Personal name
16211,16206,Thracian,Male,Personal name
16211,16206,Roman,Male,Personal name
3977,2450,Thracian,Male,Personal name
3977,2450,Roman,Male,Personal name
3977,2450,Roman,Male,Personal name
4199,2674,Greek,Male,Parent name
4199,2674,Roman,Male,Personal name
4199,2674,Thracian,Male,Personal name
5095,6955,Roman,Male,Parent name
5095,6955,Roman,Male,Personal name
5095,6955,Thracian,Male,Personal name
8373,8370,Thracian,Male,Parent name
8373,8370,Roman,Male,Personal name
8373,8370,Thracian,Male,Personal name
3988,2450,Roman,Male,Personal name
3988,2450,Thracian,Male,Personal name
3988,2450,Roman,Male,Personal name
4869,3231,Thracian,Male,Parent name
4869,3231,Roman,Male,Personal name
4869,3231,Thracian,Male,Personal name
4869,3231,Roman,Male,Personal name
9033,9030,Roman,Male,Parent name
9033,9030,Roman,Male,Personal name
9033,9030,Thracian,Male,Personal name
3976,2450,Thracian,Male,Personal name
3976,2450,Roman,Male,Personal name
3976,2450,Roman,Male,Personal name
7311,7307,Thracian,Female,Personal name
7311,7307,Roman,Female,Personal name
9753,9748,Roman,Male,Personal name
9753,9748,Thracian,Male,Personal name
6858,6856,Thracian,Male,Personal name
6858,6856,Roman,Male,Personal name
13247,13244,Roman,Male,Personal name
13247,13244,Thracian,Male,Personal name
13247,13244,Roman,Male,Personal name
7213,7210,Roman,Male,Personal name
7213,7210,Thracian,Male,Personal name
3985,2450,Roman,Male,Personal name
3985,2450,Thracian,Male,Personal name
3985,2450,Roman,Male,Personal name
7597,12689,Roman,Male,Personal name
7597,12689,Thracian,Male,Personal name
5297,2936,Greek,Male,Parent name
5297,2936,Thracian,Male,Personal name
5297,2936,Roman,Male,Personal name
3995,2450,Roman,Male,Personal name
3995,2450,Roman,Male,Personal name
3995,2450,Thracian,Male,Personal name
4509,3184,Roman,Male,Personal name
4509,3184,Thracian,Male,Personal name
5199,2921,Roman,Male,Parent name
5199,2921,Thracian,Male,Personal name
5199,2921,Roman,Male,Personal name
14941,14576,Roman,Male,Personal name
14941,14576,Thracian,Male,Personal name
11388,11650,Thracian,Male,Partner name
11388,11650,Thracian,Male,Parent name
11388,11650,Thracian,Female,Personal name
11388,11650,Roman,Female,Personal name
13214,7138,Roman,Male,Personal name
13214,7138,Roman,Male,Personal name
13214,7138,Thracian,Male,Personal name
11153,11095,Greek,Male,Parent name
11153,11095,Thracian,Male,Personal name
11153,11095,Roman,Male,Personal name
10142,10141,Thracian,Male,Parent name
10142,10141,Thracian,Male,Personal name
10142,10141,Roman,Male,Personal name
7597,9910,Roman,Male,Personal name
7597,9910,Thracian,Male,Personal name
7669,7621,Roman,Male,Personal name
7669,7621,Thracian,Male,Personal name
5581,2966,Thracian,Male,Personal name
5581,2966,Roman,Male,Personal name
5581,2966,Roman,Male,Personal name
11345,11343,Greek,Female,Partner name
11345,11343,Roman,Male,Personal name
11345,11343,Thracian,Male,Personal name
7597,11195,Roman,Male,Personal name
7597,11195,Thracian,Male,Personal name
4829,10722,Thracian,Male,Parent name
4829,10722,Thracian,Male,Personal name
4829,10722,Roman,Male,Personal name
15929,15925,Uncertain,Ambiguous,Parent name
15929,15925,Roman,Male,Personal name
15929,15925,Thracian,Male,Personal name
10769,10765,Greek,Female,Partner name
10769,10765,Roman,Male,Personal name
10769,10765,Thracian,Male,Personal name
6502,6496,Roman,Female,Personal name
6502,6496,Thracian,Female,Personal name
6502,6496,Roman,Female,Personal name
3992,2450,Roman,Male,Personal name
3992,2450,Roman,Male,Personal name
3992,2450,Thracian,Male,Personal name
16024,16020,Thracian,Male,Parent name
16024,16020,Thracian,Male,Personal name
16024,16020,Roman,Male,Personal name
5095,7005,Roman,Male,Parent name
5095,7005,Roman,Male,Personal name
5095,7005,Thracian,Male,Personal name
11140,11095,Greek,Male,Parent name
11140,11095,Roman,Male,Personal name
11140,11095,Thracian,Male,Personal name
15131,14683,Roman,Male,Personal name
15131,14683,Roman,Male,Personal name
15131,14683,Thracian,Male,Personal name
9857,9855,Roman,Male,Personal name
9857,9855,Thracian,Male,Personal name
6855,6846,Roman,Male,Personal name
6855,6846,Thracian,Male,Personal name
6767,6764,Roman,Male,Personal name
6767,6764,Thracian,Male,Personal name
10936,10935,Greek,Male,Parent name
10936,10935,Roman,Male,Personal name
10936,10935,Thracian,Male,Personal name
7597,8540,Roman,Male,Personal name
7597,8540,Thracian,Male,Personal name
11116,11095,Thracian,Male,Parent name
11116,11095,Thracian,Male,Personal name
11116,11095,Roman,Male,Personal name
7043,10854,Roman,Male,Personal name
7043,10854,Thracian,Male,Personal name
7043,10854,Roman,Male,Personal name
7043,9917,Roman,Male,Personal name
7043,9917,Thracian,Male,Personal name
7043,9917,Roman,Male,Personal name
11127,11095,Thracian,Female,Personal name
11127,11095,Roman,Female,Personal name
