personkey,inscriptionkey,ethnicity,gender,class
8102,11988,Thracian,Male,Grandparent name
8102,11988,Uncertain,Female,Partner name
8102,11988,Thracian,Male,Parent name
8102,11988,Thracian,Male,Personal name
7483,7481,Thracian,Male,Grandparent name
7483,7481,Greek,Male,Parent name
7483,7481,Thracian,Male,Personal name
9515,9514,Thracian,Male,Grandparent name
9515,9514,Thracian,Male,Parent name
9515,9514,Thracian,Male,Personal name
11394,11525,Thracian,Male,Grandparent name
11394,11525,Thracian,Male,Partner name
11394,11525,Thracian,Male,Parent name
11394,11525,Thracian,Male,Personal name
11394,11525,Roman,Male,Personal name
8102,8100,Thracian,Male,Grandparent name
8102,8100,Uncertain,Female,Partner name
8102,8100,Thracian,Male,Parent name
8102,8100,Thracian,Male,Personal name
