personkey,inscriptionkey,ethnicity,gender,class
7431,7430,Roman,Male,Partner name
7431,7430,Thracian,Male,Parent name
7431,7430,Thracian,Male,Personal name
10793,10790,Thracian,Ambiguous,Parent name
10793,10790,Thracian,Male,Personal name
7875,7601,Thracian,Male,Parent name
7875,7601,Thracian,Male,Personal name
4003,2450,Thracian,Male,Parent name
4003,2450,Thracian,Male,Personal name
11461,11492,Thracian,Female,Partner name
11461,11492,Thracian,Male,Parent name
11461,11492,Thracian,Female,Personal name
14227,14156,Uncertain,Ambiguous,Partner name
14227,14156,Thracian,Male,Parent name
14227,14156,Thracian,Male,Personal name
10333,10329,Thracian,Male,Parent name
10333,10329,Thracian,Male,Personal name
7864,7601,Thracian,Male,Parent name
7864,7601,Thracian,Male,Personal name
7417,7415,Thracian,Male,Parent name
7417,7415,Thracian,Male,Personal name
10234,10230,Thracian,Male,Parent name
10234,10230,Thracian,Male,Personal name
10208,10207,Thracian,Male,Parent name
10208,10207,Thracian,Male,Personal name
8432,8431,Thracian,Male,Parent name
8432,8431,Thracian,Male,Personal name
7446,7443,Thracian,Male,Parent name
7446,7443,Thracian,Male,Personal name
7905,7601,Thracian,Male,Parent name
7905,7601,Thracian,Male,Personal name
7737,7601,Thracian,Male,Parent name
7737,7601,Thracian,Male,Personal name
10436,10434,Thracian,Male,Parent name
10436,10434,Thracian,Male,Personal name
8612,8611,Thracian,Male,Parent name
8612,8611,Thracian,Male,Personal name
6980,7601,Thracian,Ambiguous,Parent name
6980,7601,Thracian,Male,Personal name
7750,7601,Thracian,Male,Parent name
7750,7601,Thracian,Ambiguous,Personal name
7766,7601,Thracian,Male,Parent name
7766,7601,Thracian,Male,Personal name
7901,7601,Thracian,Male,Parent name
7901,7601,Thracian,Male,Personal name
10326,10324,Thracian,Male,Parent name
10326,10324,Thracian,Female,Personal name
7437,7432,Thracian,Male,Parent name
7437,7432,Thracian,Male,Personal name
11083,11046,Thracian,Ambiguous,Parent name
11083,11046,Thracian,Male,Personal name
16396,16386,Thracian,Female,Parent name
16396,16386,Thracian,Male,Personal name
7741,7601,Thracian,Male,Parent name
7741,7601,Thracian,Ambiguous,Personal name
7442,13364,Thracian,Male,Parent name
7442,13364,Thracian,Male,Personal name
11956,11953,Thracian,Male,Parent name
11956,11953,Roman,Male,Personal name
11956,11953,Thracian,Male,Personal name
11956,11953,Greek,Male,Personal name
11956,11953,Roman,Male,Personal name
10267,10266,Thracian,Male,Parent name
10267,10266,Roman,Male,Personal name
10267,10266,Thracian,Male,Personal name
16013,16008,Thracian,Male,Parent name
16013,16008,Thracian,Male,Personal name
7896,7601,Thracian,Male,Parent name
7896,7601,Thracian,Male,Personal name
16333,16324,Thracian,Male,Parent name
16333,16324,Thracian,Male,Personal name
4003,2469,Thracian,Male,Parent name
4003,2469,Thracian,Male,Personal name
10788,10785,Thracian,Male,Parent name
10788,10785,Thracian,Male,Personal name
8438,8433,Thracian,Male,Parent name
8438,8433,Thracian,Ambiguous,Personal name
11074,11046,Thracian,Female,Partner name
11074,11046,Thracian,Male,Parent name
11074,11046,Thracian,Male,Personal name
9051,16202,Thracian,Male,Parent name
9051,16202,Roman,Male,Personal name
9051,16202,Thracian,Male,Personal name
6755,6750,Thracian,Male,Parent name
6755,6750,Thracian,Male,Personal name
13587,13586,Thracian,Male,Parent name
13587,13586,Thracian,Male,Personal name
8448,8446,Thracian,Male,Parent name
8448,8446,Thracian,Male,Personal name
13333,13330,Thracian,Male,Parent name
13333,13330,Thracian,Male,Personal name
7745,7601,Thracian,Male,Parent name
7745,7601,Thracian,Male,Personal name
14115,14111,Thracian,Male,Parent name
14115,14111,Thracian,Male,Personal name
9333,9330,Thracian,Male,Parent name
9333,9330,Thracian,Ambiguous,Personal name
11676,11675,Thracian,Male,Parent name
11676,11675,Thracian,Male,Personal name
9060,9059,Thracian,Male,Parent name
9060,9059,Thracian,Male,Personal name
9366,9365,Thracian,Male,Parent name
9366,9365,Thracian,Male,Personal name
16350,16338,Thracian,Male,Parent name
16350,16338,Thracian,Male,Personal name
10357,10354,Thracian,Male,Parent name
10357,10354,Thracian,Female,Personal name
11430,11520,Thracian,Male,Parent name
11430,11520,Thracian,Male,Personal name
13296,13295,Thracian,Male,Parent name
13296,13295,Thracian,Male,Personal name
4832,3236,Thracian,Male,Parent name
4832,3236,Thracian,Male,Personal name
10962,10961,Thracian,Male,Parent name
10962,10961,Thracian,Male,Personal name
7449,7447,Thracian,Male,Parent name
7449,7447,Thracian,Male,Personal name
7757,7601,Thracian,Male,Parent name
7757,7601,Thracian,Male,Personal name
6735,6731,Thracian,Male,Parent name
6735,6731,Thracian,Male,Personal name
11161,11160,Uncertain,Ambiguous,Partner name
11161,11160,Thracian,Male,Parent name
11161,11160,Roman,Male,Personal name
11161,11160,Thracian,Male,Personal name
7742,7601,Thracian,Male,Parent name
7742,7601,Thracian,Male,Personal name
7738,7601,Thracian,Male,Parent name
7738,7601,Thracian,Male,Personal name
13843,13841,Thracian,Male,Parent name
13843,13841,Thracian,Male,Personal name
10472,10470,Thracian,Male,Parent name
10472,10470,Thracian,Male,Personal name
6947,6943,Thracian,Male,Parent name
6947,6943,Thracian,Female,Personal name
5351,2668,Thracian,Male,Partner name
5351,2668,Thracian,Male,Parent name
5351,2668,Thracian,Female,Personal name
8102,11988,Thracian,Male,Grandparent name
8102,11988,Uncertain,Female,Partner name
8102,11988,Thracian,Male,Parent name
8102,11988,Thracian,Male,Personal name
8373,8370,Thracian,Male,Parent name
8373,8370,Roman,Male,Personal name
8373,8370,Thracian,Male,Personal name
7752,7601,Thracian,Ambiguous,Parent name
7752,7601,Thracian,Male,Personal name
10814,10813,Thracian,Male,Parent name
10814,10813,Thracian,Male,Personal name
7193,7183,Thracian,Male,Parent name
7193,7183,Thracian,Male,Personal name
6931,6905,Thracian,Male,Parent name
6931,6905,Thracian,Male,Personal name
8621,8620,Thracian,Male,Parent name
8621,8620,Thracian,Male,Personal name
7820,7601,Thracian,Male,Parent name
7820,7601,Thracian,Male,Personal name
