personkey,inscriptionkey,ethnicity,gender,class
5516,3542,Thracian,Female,Partner name
5516,3542,Greek,Male,Parent name
5516,3542,Greek,Male,Personal name
5453,3598,Thracian,Female,Partner name
5453,3598,Greek,Female,Parent name
5453,3598,Greek,Male,Personal name
15148,14724,Thracian,Female,Partner name
15148,14724,Greek,Male,Personal name
5449,3600,Thracian,Female,Partner name
5449,3600,Greek,Male,Parent name
5449,3600,Greek,Male,Personal name
5489,3571,Thracian,Female,Partner name
5489,3571,Greek,Male,Parent name
5489,3571,Greek,Male,Personal name
11704,11703,Thracian,Female,Partner name
11704,11703,Greek,Male,Parent name
11704,11703,Greek,Male,Personal name
15879,15857,Thracian,Female,Partner name
15879,15857,Thracian,Male,Parent name
15879,15857,Greek,Male,Personal name
5468,3587,Thracian,Female,Partner name
5468,3587,Greek,Male,Parent name
5468,3587,Greek,Male,Personal name
5413,3622,Thracian,Female,Partner name
5413,3622,Greek,Male,Parent name
5413,3622,Greek,Male,Personal name
5021,3637,Thracian,Female,Partner name
5021,3637,Greek,Female,Parent name
5021,3637,Greek,Male,Personal name
11335,11320,Thracian,Female,Partner name
11335,11320,Uncertain,Male,Parent name
11335,11320,Greek,Male,Personal name
11689,11688,Thracian,Female,Partner name
11689,11688,Greek,Male,Parent name
11689,11688,Greek,Male,Personal name
5842,3389,Thracian,Female,Partner name
5842,3389,Greek,Male,Parent name
5842,3389,Greek,Male,Personal name
5465,3588,Thracian,Female,Partner name
5465,3588,Greek,Male,Parent name
5465,3588,Greek,Male,Personal name
9624,9622,Thracian,Female,Partner name
9624,9622,Greek,Male,Personal name
9624,9622,Roman,Male,Personal name
5408,3626,Thracian,Female,Partner name
5408,3626,Greek,Male,Parent name
5408,3626,Greek,Male,Personal name
5473,3585,Thracian,Female,Partner name
5473,3585,Greek,Male,Parent name
5473,3585,Greek,Male,Personal name
5729,3521,Thracian,Female,Partner name
5729,3521,Roman,Male,Parent name
5729,3521,Greek,Male,Personal name
5470,3586,Thracian,Female,Partner name
5470,3586,Roman,Male,Parent name
5470,3586,Greek,Male,Personal name
