personkey,inscriptionkey,ethnicity,gender,class
16241,16240,Thracian,Female,Personal name
16241,16240,Greek,Male,Parent name
16241,16240,Greek,Male,Partner name
11690,11688,Thracian,Female,Personal name
11690,11688,Greek,Male,Partner name
11690,11688,Greek,Male,Parent name
15149,14724,Thracian,Female,Personal name
15149,14724,Greek,Male,Partner name
5826,3488,Thracian,Female,Personal name
5826,3488,Greek,Male,Partner name
5826,3488,Greek,Male,Parent name
5447,3601,Greek,Male,Partner name
5447,3601,Thracian,Female,Personal name
15881,15857,Greek,Male,Partner name
15881,15857,Thracian,Female,Personal name
5512,3545,Thracian,Female,Personal name
5512,3545,Greek,Male,Parent name
5512,3545,Greek,Male,Partner name
5845,3389,Thracian,Female,Personal name
5845,3389,Greek,Male,Partner name
5845,3389,Greek,Male,Parent name
5023,3637,Thracian,Female,Personal name
5023,3637,Greek,Male,Partner name
5023,3637,Greek,Male,Parent name
5948,5946,Thracian,Female,Personal name
5948,5946,Greek,Male,Parent name
5948,5946,Greek,Male,Partner name
5471,3586,Thracian,Female,Personal name
5471,3586,Greek,Male,Partner name
16580,16579,Roman,Female,Personal name
16580,16579,Thracian,Female,Personal name
16580,16579,Greek,Male,Partner name
11337,11320,Greek,Male,Partner name
11337,11320,Thracian,Female,Personal name
11340,11323,Thracian,Female,Personal name
11340,11323,Greek,Male,Partner name
