Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context,
2284,"Ctibor, Jan * Janouchova, Petra *",Yes,IG Bulg 1(2),6,20006,,Kavarna,Bizone,Bizone,3836,POINT(28.3670425 43.4236271),1 Certain,in the vicinity of Greek school,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,1,200,Roman,1|2,,,,,,,0.5,0.5,,,,,,,No,Prose,,Irregular,Public,Accounts/Lists|Religious/Ritual,,Catalogum sacerdotum et virorum beneficiorum thiasi Bacchi Tauri videtur esse,17,,,"Euergetes,","hiereus,",,,,None,,,,No,No,"Theogenes, child of Skythes, partner of, grandchild of, Skythes, child of Theogenes, partner of, grandchild of, Polemarchos, child of Poseideios, partner of, grandchild of, Theages, child of Skythes, partner of, grandchild of, Proklos, child of Skythes, partner of, grandchild of, Min[?], child of Apolonios, partner of, grandchild of, Chrysipos, child of [D or M]aisias, partner of, grandchild of, Poseidonios, child of Mosschos, partner of, grandchild of,",8,10,Mixed names,,0.66
2366,"Janouchova, Petra *",Yes,I Aeg Thrace,29,10029,,Abdera,Abdera,Abdera,3767,POINT(24.9691772 40.9425644),3 Region,"basilica of Abderians, excavation",Yes,Secondary,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,1,199,Roman,1|2,,,,,,,0.5,0.5,,,,,,,No,Verse,,Irregular,Private,,Funerary,,6,,,,,,,,None,,,,No,No,,0,0,No Name,,
2408,"Janouchova, Petra *",Yes,I Aeg Thrace,66,10066,,Abdera,Abdera,Abdera,3767,POINT(24.9715805 40.9344922),2 Vicinity,,No,Habitation,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,1,199,Roman,1|2,,,,,,,0.5,0.5,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,"Chaire,",,,,,,None,,,,No,No,,0,0,No Name,,
2443,"Janouchova, Petra *",Yes,I Aeg Thrace,81,10081,,Porto Lagos,,Abdera,3771,POINT(25.1098108 41.0137296),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,1,99,Roman,1,,,,,,,1,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,1,,"Chaire,",,,,,,None,,,,No,No,"Unknown, child of Poseidonios, partner of, grandchild of,",1,2,Greek and Uncertain,,
2448,"Janouchova, Petra *",Yes,I Aeg Thrace,83,10083,,Xanthi,,Abdera,3773,POINT(24.8863775 41.1291264),3 Region,,No,N/A,No,Stone,Marble,,Architectural feature,7 Drawing,4 N/A,,Base,,,Yes,1,50,Roman,1,,,,,,,1,,,,,,,,No,Prose,,Irregular,Public,Honorary decrees,,honorary,4,"Demos, Basileus,",,"Euergetes,",,,,"Thrakes,",Tribe,Thracian,,,No,No,"Roimetalkes (Roimetalkas), child of Kotys, partner of, grandchild of,",1,1,Thracian only,Thracian,
2450,"Janouchova, Petra *",Yes,I Aeg Thrace,84,10084,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7679901 41.0852062),1 Certain,,No,N/A,No,Stone,Marble,,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Architectural moulding|Floral motive,,,Yes,46,54,Roman,1,,,,,,,1,,,,,,,,No,Undistinguishable,,Irregular,Public,Accounts/Lists,,,38,"Strategos,",,,,,,,None,,"Thrake,",1,Yes,No,"Markos, Ouettios, Markellos, child of, partner of, grandchild of, Tiberios, Klaudios, Dinis, child of, partner of, grandchild of, Tiberios, Klaudios, Aulouzenis, child of, partner of, grandchild of, Tiberios, Klaudios, Aulouporis, child of, partner of, grandchild of, Markos, Ouettios, Dinis, child of, partner of, grandchild of, Tiberios, Klaudios, Dinikenthos, child of, partner of, grandchild of, Tiberios, Klaudios, Theopompos, child of, partner of, grandchild of, Tiberios, Klaudios, Roimetalkes (Roimetalkas), child of Beithykenthos, partner of, grandchild of, Tiberios, Klaudios, Roimetalkes (Roimetalkas), child of Apollonios, partner of, grandchild of, Tiberios, Klaudios, Beithys, child of, partner of, grandchild of, Tiberios, Klaudios, Zykolaises, child of, partner of, grandchild of, Tiberios, Klaudios, Kardenthes, child of, partner of, grandchild of, Tiberios, Klaudios, Eision, child of, partner of, grandchild of, Gaios, Ioulios, Bassos, child of, partner of, grandchild of, Gaios, Mailios, Montanos, child of, partner of, grandchild of, Tiberios, Klaudios, Eptaikenthos, child of, partner of, grandchild of, Gaios, Ioulios, Artemidoros, child of, partner of, grandchild of, Tiberios, Klaudios, Doles, child of, partner of, grandchild of, Gaios, Ioulios, Eutychos, child of, partner of, grandchild of, Gaios, Ioulios, Halys, child of, partner of, grandchild of, Tiberios, Klaudios, Ebrenis, child of, partner of, grandchild of, Tiberios, Klaudios, Kallon, child of, partner of, grandchild of, Gaios, Ioulios, Ebrenis, child of, partner of, grandchild of, Gaios, Ioulios, Zmaragdos, child of, partner of, grandchild of, Longeinos, child of Dorzinthes, partner of, grandchild of, Karoses, child of Aulouporis, partner of, grandchild of, Kotys, child of Hygienos, partner of, grandchild of, Mokaporis, child of Roimetalkes (Roimetalkas), partner of, grandchild of, Zykouleses, child of Tyrelses, partner of, grandchild of, Diouzies, child of Zykouleses, partner of, grandchild of, Esbenis, child of Amatokos, partner of, grandchild of, Eision, child of Filon, partner of, grandchild of, Dorzinthes, child of Bosis, partner of, grandchild of, Koisormas, child of Spokes, partner of, grandchild of,",34,57,Mixed names,,
2468,"Janouchova, Petra *",Yes,I Aeg Thrace,85,10085,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7697926 41.0849797),1 Certain,,No,N/A,No,Stone,Marble,,Architectural feature,9 Undeterminable,4 N/A,,,,,No,46,54,Roman,1,,,,,,,1,,,,,,,,No,Prose,,Irregular,Public,Accounts/Lists,,,4,"Strategos, Presbys,",,,,,,,None,,"Thrake,",1,Yes,No,"Titos, Flaouios, Sabinos / Sabeinos, child of, partner of, grandchild of, Tiberios, Klaudios, Dinis, child of, partner of, grandchild of,",2,3,Thracian and Roman,,
2469,"Janouchova, Petra *",Yes,I Aeg Thrace,86,10086,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7646427 41.0840417),1 Certain,,No,N/A,No,Stone,Other >,,Architectural feature,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Base,,,Yes,50,99,Roman,1,,,,,,,1,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,1,,,,"heros,",,,,None,,,,No,No,"Zykouleses, child of Tyrelses, partner of, grandchild of,",1,1,Thracian only,,
2470,"Janouchova, Petra *",Yes,I Aeg Thrace,87,10087,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7668314 41.0844622),3 Region,,Yes,Secondary,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,1,199,Roman,1|2,,,,,,,0.5,0.5,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,"Strategos,","Epoiesen,",,,,,,None,,,,No,No,"Zykouleses, child of Tyrelses, partner of, grandchild of, Unknown, child of Diouzies, partner of Tyrelses, grandchild of,",2,3,Thracian and Uncertain,,
2620,"Janouchova, Petra *",Yes,I Aeg Thrace,180,10180,53:659,Samothrace,Samothrace,Samothrace,3791,POINT(25.5191995 40.4962313),1 Certain,Sanctuary of Great Gods,No,Religious/Ritual,No,Stone,Marble,Thasos,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,41,46,Roman,1,,,,,,,1,,,,,,,,No,Prose,,Irregular,Public,State decrees,,"frg. A, B",94,"Bouleutes, Archon, Polis, Boule, Demos, Hegemonia, Symmachos, Nomos, Eleutheria, Psefisma, Presbeia, Horkos, Chora, Patris,","Edoxen, Dedochthai,","Eunoia,","Dionysus, theos,",,,"Romaioi, Maronitai,",City,Mixed,,,Yes,No,"Tiberios, Klaudios, Kaisar, Germanikos, child of, partner of, grandchild of,",1,1,Roman only,,
