Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context,
2273,"Ctibor, Jan * Janouchova, Petra *",Yes,IG Bulg 1(2),1,20001,,Tvarditsa,,Caron Limen,3833,POINT(28.4583664 43.6117196),2 Vicinity,,No,N/A,No,Stone,Limestone,,Stele,9 Undeterminable,4 N/A,,,,,Yes,200,300,Roman,3,,,,,,,,,1,,,,,Ionic-attic,No,Prose,,Irregular,Private,,Funerary,,7,,,,"hiereus,",,,"Barbaroi,",Barbaroi,Non-Greek,,,No,No,"Markos, Aurelios, Flabios (Flaouios, Flavios), child of, partner of, grandchild of,",1,1,Roman only,,0.16
2282,"Ctibor, Jan * Janouchova, Petra *",Yes,IG Bulg 1(2),5,20005,,Gorichane,,Caron Limen,3835,POINT(28.4578514 43.5300069),1 Certain,,No,N/A,No,N/A,,,N/A,8 Lost,4 N/A,,,,,No,222,235,Roman,3,,,,,,,,,1,,,,,,No,Prose,Roman style,Irregular,Public,,,,8,,,,,,,,None,,"Kallatis,",1,Yes,No,"Ioulia, Mamaia, child of, partner of, grandchild of, Markos, Aurelios, Severos (Seueros, Seberos, Seoueros), Alexandros, (Severus Alexander), child of, partner of, grandchild of,",2,4,Roman only,,0.5
2346,"Janouchova, Petra *",Yes,I Aeg Thrace,18,10018,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),3 Region,,Yes,Secondary,No,Stone,Other >,,Stele,7 Drawing,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,200,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,6,,"Agathe tyche,",,"Dionysus, Synmystai, theos,",,,,None,,,,No,No,"Gaios, Kassios, Sextos, child of, partner of, grandchild of,",1,1,Roman only,,
2410,"Janouchova, Petra *",Yes,I Aeg Thrace,68,10068,,Abdera,Abdera,Abdera,3767,POINT(24.9717736 40.9346381),1 Certain,,No,Habitation,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Geometric motive,,"tabula ansata, sarcophagus",Yes,200,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Funerary,,10,"Patris, Tamias, Polis,",,,,,,"Abderites,",City,Greek,,,No,Yes,"Kassia, Asklepiodote, child of, partner of, grandchild of, Markos, Oulpios, Autolykos, child of, partner of, grandchild of,",2,4,Greek and Roman,,
2413,"Janouchova, Petra *",Yes,I Aeg Thrace,69,10069,,Abdera,Abdera,Abdera,3767,POINT(24.9717736 40.9347029),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,200,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Aurelios, Gais, Gly[?], child of, partner of, grandchild of,",1,3,Mixed names,,
2414,"Janouchova, Petra *",Yes,I Aeg Thrace,70,10070,,Abdera,Abdera,Abdera,3767,POINT(24.9731469 40.9337465),3 Region,,Yes,Secondary,No,Stone,Marble,,Architectural feature,5 Squeeze,1 Relief,1 Architectural / Ornamental,Other > notes,,sarcophagus,Yes,200,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Koros, child of Ne[?], partner of, grandchild of,",1,2,Greek and Uncertain,,
2415,"Janouchova, Petra *",Yes,I Aeg Thrace,71,10071,,Abdera,Abdera,Abdera,3767,POINT(24.9731684 40.9336006),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,1 Intact,4 N/A,1 Architectural / Ornamental|2 Figural,Floral motive,,human hands,Yes,270,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Funerary,,7,,"Charin, Mneias,",,,,,,None,,,,No,No,"Kaisonios, Sokrates, child of, partner of, grandchild of, Aurelia, Alexandra, child of, partner of, grandchild of, Loukilla, child of, partner of, grandchild of,",3,5,Greek and Roman,,
2471,"Janouchova, Petra *",Yes,I Aeg Thrace,88,10088,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7622824 41.0819714),1 Certain,,No,Funerary,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,200,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Funerary,,14,"Tamias,",,,"bomos,",,,,None,,,,No,Yes,"Aurelia, Baleriane, child of, partner of Dydes, grandchild of, Dydes, Euagrios, child of, partner of, grandchild of,",2,4,Mixed names,,
2473,"Janouchova, Petra *",Yes,I Aeg Thrace,89,10089,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7678614 41.0846886),1 Certain,,No,N/A,No,Stone,Marble,,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,200,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Funerary,,7,"Polis,","Mnemeion, Epoiei,",,,,,,None,,"Neikaia,",1,No,Yes,"Aurelia, Kalliope, child of, partner of, grandchild of, Kassios, Achilleus, child of, partner of, Neikaios, grandchild of,",2,4,Greek and Roman,,
2475,"Janouchova, Petra *",Yes,I Aeg Thrace,90,10090,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7664022 41.0842681),1 Certain,rock cut inscription,No,Funerary,No,Stone,Other >,,Other,9 Undeterminable,4 N/A,,,,rock cut,Yes,200,299,Roman,3,,,,,,,,,1,,,,,,No,Prose,,Irregular,Private,,Funerary,,5,,"Mnemeion,",,,,,,None,,,,No,No,"Filon, child of Menodotos, partner of, grandchild of,",1,1,Greek only,,
