Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context
2484,"Janouchova, Petra *",Yes,I Aeg Thrace,96,10096,,Paradisos,Topeiros,Topeiros,3774,POINT(24.7606945 41.082489),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,400,599,Roman,5|6,,,,,,,,,,,0.5,,,,No,Prose,,Irregular,Private,,Funerary,,5,,,,,,,,None,,,,No,No,"Paul[os], child of, partner of, grandchild of,",1,1,Uncertain,
2956,"Janouchova, Petra *",Yes,I Aeg Thrace,349,10349,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5121422 40.8771798),1 Certain,reused older inscription,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Other > notes,,cross,Yes,400,599,Roman,5|6,,,,,,,,,,,0.5,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Theodora, child of, partner of, grandchild of,",1,1,Greek only,
3020,"Janouchova, Petra *",Yes,I Aeg Thrace,351,10351,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5119705 40.8909367),4 Uncertain,,No,N/A,No,Stone,Marble,,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Other > notes,,cross,Yes,400,499,Roman,5,,,,,,,,,,,1,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Nonosa, child of, partner of, grandchild of,",1,1,Greek only,
3022,"Janouchova, Petra *",Yes,I Aeg Thrace,352,10352,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5111122 40.8727666),1 Certain,,No,Funerary,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Other > notes,,cross,Yes,400,499,Roman,5,,,,,,,,,,,1,,,,No,Prose,,Irregular,Private,,Funerary,,4,,,,,,,,None,,,,No,No,"Kyrake, child of, partner of Fotenos, grandchild of,",1,2,Greek and Uncertain,
3024,"Janouchova, Petra *",Yes,I Aeg Thrace,353,10353,,Maroneia,Maroneia,Maroneia,3789,POINT(25.511198 40.8728315),1 Certain,,No,Funerary,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Other > notes,,cross,Yes,400,499,Roman,5,,,,,,,,,,,1,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Eioanes, child of, partner of, grandchild of,",1,1,Uncertain,
3030,"Janouchova, Petra *",Yes,I Aeg Thrace,356,10356,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5116678 40.8756345),3 Region,,Yes,Secondary,No,Stone,Other >,,N/A,9 Undeterminable,4 N/A,,,,,No,400,599,Roman,5|6,,,,,,,,,,,0.5,,,,No,Prose,,Irregular,Private,,Funerary,,5,,,,,,,,None,,,,No,No,"Anastasios, child of, partner of, grandchild of,",1,1,Greek only,
3034,"Janouchova, Petra *",Yes,I Aeg Thrace,360,10360,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5105972 40.875752),3 Region,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,400,499,Roman,5,,,,,,,,,,,1,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,5,,,,,,,,None,,,,No,No,,0,0,No Name,
3036,"Janouchova, Petra *",Yes,I Aeg Thrace,362,10362,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5109406 40.8758818),1 Certain,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,400,599,Roman,5|6,,,,,,,,,,,0.5,,,,No,Undistinguishable,,Irregular,Uncertain,,,,2,,,,,,,,None,,,,No,No,,0,0,No Name,
3086,"Janouchova, Petra *",Yes,I Aeg Thrace,390,10390,,Aspropotamo,Maximianopolis,Maximianopolis,3803,POINT(25.3257179 41.1287627),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Other > notes,,cross,Yes,500,599,Roman,6,,,,,,,,,,,SIX,,,,No,Prose,,Irregular,Uncertain,,,,3,,,,,,,,None,,,,No,No,,0,0,No Name,
3138,"Janouchova, Petra *",Yes,I Aeg Thrace,391,10391,,Aspropotamo,Maximianopolis,Maximianopolis,3803,POINT(25.3244305 41.1277283),3 Region,,Yes,Secondary,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Other > notes,,cut into cross,Yes,500,599,Roman,6,,,,,,,,,,,SIX,,,,No,Prose,,Irregular,Private,,Funerary,,8,"Polis,",,,,,,"Peratikoi,",City,Greek,,,No,No,"Zotikos, child of, partner of, Peratikoi, grandchild of,",1,1,Greek only,Greek
3140,"Janouchova, Petra *",Yes,I Aeg Thrace,392,10392,,"Paradymi, Baltos",,,3804,POINT(25.3345483 41.0816802),3 Region,Neolithic to Chalcolithic settlement,Yes,Secondary,No,Stone,Marble,,Stele,9 Undeterminable,1 Relief,1 Architectural / Ornamental,Other > notes,,cross,No,400,599,Roman,5|6,,,,,,,,,,,0.5,,,,No,Prose,,Irregular,Private,,Other > notes,"inauguration of chapel, dedication of a chapel",3,,,,,,,,None,,,,No,No,"Marena, child of, partner of, grandchild of,",1,1,Uncertain,
3397,"Kobierska, Marketa *",Yes,IG Bulg 2,"597 ter, 5196",30597.3,,Gigen,Oescus,Nikopolis ad Istrum,3866,POINT(24.4853245 43.6946155),2 Vicinity,,No,N/A,No,Stone,Marble,,N/A,4 Almost destroyed,4 N/A,,,,,Yes,400,599,Roman,5|6,,,,,,,,,,,0.5,,,,No,Prose,,Irregular,Uncertain,,,,5,,,,,,,,None,,,,No,No,,0,0,No Name,
3401,"Janouchova, Petra *",Yes,I Aeg Thrace,441,10441,,Loutra,Traianoupolis,Traianoupolis,3816,POINT(26.0314608 40.8642639),1 Certain,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,400,499,Roman,5,,,,,,,,,,,1,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,1,,,,,,,,None,,,,No,No,"Eudoxi[?], child of, partner of, grandchild of,",1,1,Greek only,
3402,"Janouchova, Petra *",Yes,I Aeg Thrace,442,10442,,Loutra,Traianoupolis,Traianoupolis,3816,POINT(26.0319328 40.8632577),2 Vicinity,,No,N/A,No,Stone,Other >,granite,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Other > notes,,cross,Yes,500,599,Roman,6,,,,,,,,,,,SIX,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,5,,,,,,,,None,,,,No,No,"Petros, child of, partner of, grandchild of,",1,1,Greek only,
