Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context
2355,"Janouchova, Petra *",Yes,I Aeg Thrace,22,10022,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),1 Certain,field of V. Makedis,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,99,99,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,No,Prose,,Irregular,Public,Honorary decrees,,honorary?,3,,"Agathe tyche,",,"Zeus, hiereus,","Eleutherios,",Regional,,None,,,,No,No,,0,0,No Name,
2404,"Janouchova, Petra *",Yes,I Aeg Thrace,63,10063,,Abdera,Abdera,Abdera,3767,POINT(24.9732542 40.9337627),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-99,-1,Not Roman,-1,,,,,,1,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,"Chaire,",,,,,,None,,,,No,No,"Nikias, child of Melon, partner of, grandchild of,",1,1,Greek only,
2405,"Janouchova, Petra *",Yes,I Aeg Thrace,64,10064,47:1032,Abdera,Abdera,Abdera,3767,POINT(24.9732327 40.9336654),3 Region,"Ed.pr. D.Triantaphyllos, AD 47 B2 (1992) [1997] 499/500 and AD 48 B2 (1993) [1998] 403/404 (text in majuscules).",Yes,Secondary,No,Stone,Marble,,Architectural feature,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Column,,,Yes,-99,99,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,"Chaire,",,,,,,None,,,,No,No,"Beisoulas, child of Artemidoros, partner of, grandchild of,",1,2,Greek and Thracian,
2406,"Janouchova, Petra *",Yes,I Aeg Thrace,65,10065,,Abdera,Abdera,Abdera,3767,POINT(24.9735332 40.9337627),3 Region,,Yes,Secondary,No,Stone,Marble,Thasos,Stele,2 Slightly damaged,1 Relief,2 Figural,Architectural moulding,Horse rider,,Yes,-99,-1,Not Roman,-1,,,,,,1,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,1,,"Chaire,",,"heros,",,,,None,,,,No,No,,0,0,No Name,
2417,"Janouchova, Petra *",Yes,I Aeg Thrace,72,10072,,Abdera,Abdera,Abdera,3767,POINT(24.9729753 40.9335033),1 Certain,,No,N/A,No,Stone,Marble,,Architectural feature,1 Intact,1 Relief,1 Architectural / Ornamental,Base,,base,Yes,-99,99,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,Yes,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Lucius, Manneius, Pollio, child of Lucius, partner of, grandchild of,",1,1,Roman only,
2436,"Ctibor, Jan * Janouchova, Petra *",Yes,IG Bulg 1(2),"12, 5001bis",20012,,Kaliakra,Tirizis,Bizone,3838,POINT(28.4640312 43.3761068),1 Certain,Found in the old castle,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-16,14,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,No,Prose,,Irregular,Public,,,,11,"Basileus,",,,,,,,None,,,,No,No,"Roimetalkes (Roimetalkas), Farsalos, child of Bithys, partner of, grandchild of,",1,2,Greek and Thracian,
2441,"Ctibor, Jan * Kobierska, Marketa * Janouchova, Petra *",Yes,IG Bulg 1(2),"13, 5006",20013,,Balchik,Dionysopolis,Dionysopolis,3841,POINT(28.1654906 43.407495),1 Certain,"Found near school in street, that leads to Dobrich",No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-48,-48,Roman,-1,,,,,,1,,,,,,,,,No,Prose,,Irregular,Public,Religious/Ritual,,,49,"Agora, Demos, Patris, Polis, Basileus, Politai, Boule,","Dedochthai,","Andrias, Stefanos, Stefanosai, Epainesai, Kalos kai agathos, Eunoia, Eikon,","Dionysia, pompe, thysia, Mystai, Theoi Samothrakioi, hiereus, Theos megalos, Heracles,",,,"Romaioi, Thrakes,",Mixed,Mixed,"Herakleia Pontica, Makedonia, Samothrake, Argedauon,",4,No,No,"Akornion, child of Dionysios, partner of, grandchild of, Byrebistas, child of, partner of, grandchild of, Gnaios, Pompeios, child of Gnaios, partner of, grandchild of, Theodoros, child of, partner of, grandchild of, Gaios, Antonios, child of, partner of, grandchild of,",5,8,Mixed names,
2485,"Janouchova, Petra *",Yes,I Aeg Thrace,97,10097,,Kosmiti,Topeiros,Topeiros,3775,POINT(24.7667885 41.0446632),3 Region,transferred from Topeiros,Yes,Secondary,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-99,99,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,No,Undistinguishable,,Irregular,Private,,,,1,,,,,,,,None,,,,No,No,"Unknown, child of Dion[?], partner of, grandchild of,",1,1,Uncertain,
2619,"Janouchova, Petra *",Yes,I Aeg Thrace,179,10179,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5106831 40.8734805),1 Certain,,No,Religious/Ritual,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-99,-1,Not Roman,-1,,,,,,1,,,,,,,,,No,Prose,,Irregular,Public,,,,4,,"Edoxen,",,"Dionysus, hiereus,",,,,None,,,,No,No,"Herai[on?], child of, partner of, grandchild of,",1,1,Greek only,
2684,"Janouchova, Petra *",Yes,I Aeg Thrace,200,10200,47:1070,Maroneia,Maroneia,Maroneia,3789,POINT(25.5100822 40.8740646),1 Certain,"Ed.pr. D.Triantaphyllos, AD 48 B2 (1993) [1998] 405 (text in majuscules):",No,N/A,No,Stone,Marble,,Architectural feature,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Base,,Fragment of a marble base,Yes,-99,-1,Not Roman,-1,,,,,,1,,,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,3,,,,"Isis, Sarapis / Serapis, Harpokrates,",,,,None,,,,No,No,"Akestor, Ath[?], child of, partner of, grandchild of,",1,2,Greek and Uncertain,
2686,"Janouchova, Petra *",Yes,I Aeg Thrace,201,10201,,Maroneia,Maroneia,Maroneia,3789,POINT(25.511713 40.8749083),1 Certain,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-99,99,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,3,"Trierchia,","Charisterion,",,"Sarapis / Serapis, Isis, Harpokrates,",,,,None,,,,No,No,"[De]mostrates, child of, partner of, grandchild of,",1,1,Greek only,
2687,"Janouchova, Petra *",Yes,I Aeg Thrace,202,10202,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5125713 40.8753626),1 Certain,,No,N/A,No,Stone,Marble,,Sculpture,4 Almost destroyed,1 Relief,2 Figural,,Group of people,,Yes,-99,99,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,1,,,,"thea,",,,,None,,,,No,No,"Markia, Abratis, child of, partner of, grandchild of,",1,2,Greek and Roman,
2692,"Janouchova, Petra *",Yes,I Aeg Thrace,204,10204,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5124855 40.8780883),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-99,-1,Not Roman,-1,,,,,,1,,,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,Serapion Serapionos,8,,"Epegrapsen,",,"Neikonemesis,","Soteira,",Regional,,None,,,,No,No,"Serapion, child of Serapion, partner of, grandchild of, Unknown, child of Posidon, partner of, grandchild of, K[?], child of [Nik]oxenos, partner of, grandchild of, Demostratos, child of Isi[doros], partner of, grandchild of, Hera[kl]ei[des], child of, partner of, grandchild of,",5,7,Greek and Uncertain,
2705,"Janouchova, Petra *",Yes,I Aeg Thrace,207,10207,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5104256 40.8753626),1 Certain,,No,N/A,No,Stone,Marble,,Architectural feature,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Base,,,Yes,99,99,Roman,-1|1,,,,,,0.5,0.5,,,,,,,,No,Prose,,Irregular,Public,Honorary decrees,,,3,"Basileus,",,"Euergetes,",,,,"Thrakes,",Tribe,Thracian,,,No,No,"K[otys], child of, partner of, grandchild of,",1,1,Thracian only,Thracian
2710,"Janouchova, Petra *",Yes,I Aeg Thrace,211,10211,,Maroneia,Maroneia,Maroneia,3789,POINT(25.5111122 40.8741295),4 Uncertain,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-99,-1,Not Roman,-1,,,,,,1,,,,,,,,,No,Prose,,Irregular,Public,Honorary decrees,,,3,"Demos,",,,,,,"Samothrakioi,",City,Greek,,,No,No,,0,0,No Name,
