Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context
2345,"Janouchova, Petra *",Yes,I Aeg Thrace,17,10017,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),1 Certain,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,100,199,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,4,,,,"Dionysus,",,,,None,,,,No,No,,0,0,No Name,
2354,"Janouchova, Petra *",Yes,I Aeg Thrace,21,10021,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),3 Region,Bouloustra,Yes,Secondary,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,100,199,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Public,Honorary decrees,,honorary?,6,"Polis,","Agathe tyche,","Euergetes,","Zeus, hiereus,","Eleutherios,",Regional,,None,,,,No,No,"Unknown, child of Soudeikenthos, partner of, grandchild of, Unknown, child of Ision, partner of, grandchild of, Rhoufos (Roufos), child of Ouales, partner of, grandchild of,",3,6,Mixed names,
2356,"Janouchova, Petra *",Yes,I Aeg Thrace,23,10023,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),1 Certain,Polystylos hill,No,Habitation,No,Stone,Marble,,Architectural feature,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Altar,,,Yes,131,132,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,6,,,,,,,,None,,,,Yes,No,"Hadrianos, child of, partner of, grandchild of,",1,1,Roman only,
2359,"Janouchova, Petra *",Yes,I Aeg Thrace,24,10024,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),3 Region,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,100,199,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Uncertain,,,,4,,,,,,,,None,,,,No,No,,0,0,No Name,
2409,"Janouchova, Petra *",Yes,I Aeg Thrace,67,10067,,Abdera,Abdera,Abdera,3767,POINT(24.9714088 40.9352054),1 Certain,,No,N/A,No,Stone,Marble,,Architectural feature,1 Intact,1 Relief,1 Architectural / Ornamental,Floral motive,,sarcophagus,Yes,100,199,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Private,,Funerary,,5,"Bouleutes, Tamias, Polis,","Mnema,Mneme, Chaire, Parodita,Parodeita,",,,,,"Abderites,",City,Greek,,,No,Yes,"Aga[th]emeris, child of, partner of, grandchild of,",1,1,Greek only,Greek
2426,"Janouchova, Petra *",Yes,I Aeg Thrace,78,10078,,Toxotes,,Topeiros,3770,POINT(24.777174 41.0868558),1 Certain,"next to the river Nestos, excavation",No,Habitation,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,117,138,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Public,Other > notes,,boundary marker?,12,"Polis, Horos,",,"Pronoia,","theos, Zeus,","Ephorios,",Regional,"Abderites,",City,Greek,"Mestos (form of Nestos),",1,Yes,No,"Hadrianos, child of, partner of, grandchild of,",1,1,Roman only,
2430,"Janouchova, Petra *",Yes,I Aeg Thrace,79,10079,,Toxotes,,Topeiros,3770,POINT(24.77717 41.08686),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,117,138,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Public,Other > notes,,boundary marker?,10,"Polis, Horos,",,,,,,"Abderites,",City,Greek,,,Yes,No,"Hadrianos, child of, partner of, grandchild of, Agrippa, child of, partner of, grandchild of,",2,2,Roman only,
2487,"Janouchova, Petra *",Yes,I Aeg Thrace,99,10099,,Kosmiti,Topeiros,Topeiros,3775,POINT(24.76784 41.04617),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Floral motive,,,Yes,100,199,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Private,,,,3,,,,,,,,None,,,,No,No,"Loukios, Antonios, child of, partner of, grandchild of,",1,1,Roman only,
2492,"Janouchova, Petra *",Yes,I Aeg Thrace,103,10103,,Xanthi,Xantheia,Topeiros,3776,POINT(24.8847198 41.127696),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Naiskos|Crown|Floral motive,,,Yes,100,199,Roman,2,,,,,,,,1,,,,,,,No,Prose,,Irregular,Private,,Funerary,,5,,"Parodita,Parodeita, Chaire,",,,,,"Abderites,",City,Greek,,,No,No,"Demosthenes, child of [?]los, partner of, Abderites, grandchild of,",1,2,Greek and Uncertain,
2584,"Ctibor, Jan *",Yes,IG Bulg 1(2),15,20015,,Balchik,Dionysopolis,Dionysopolis,3841,POINT(28.1666279 43.40776),2 Vicinity,,No,N/A,No,Stone,,,N/A,9 Undeterminable,4 N/A,,,,,Yes,157,157,Roman,2,,,,,,,,1,,,,,,,No,Prose,Roman style,Irregular,Public,Honorary decrees,,,6,"Presbeutes kai antistrategos, Demos, Boule,","Agathe tyche,",,,,,"Dionysopolitai,",City,From area of Thrace,,,No,No,"Titos, Vitrasios (Ouitrasios), Pollio, child of, partner of, grandchild of,",1,1,Roman only,
