Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context
2288,"Ctibor, Jan * Janouchova, Petra *",Yes,IG Bulg 1(2),7 ter,20007.3,,Kavarna,,Bizone,3837,POINT(28.3385468 43.4355948),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,Yes,-200,-100,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Uncertain,,Dedicatory,,4,,,,"Theoi Samothrakioi,",,,,None,,"Samothrake,",1,No,No,,0,0,No Name,
2304,"Janouchova, Petra *",Yes,I Aeg Thrace,5,10005,,Izmir,Teos,Smyrna,3769,POINT(26.785014 38.177262),3 Region,"SE of Smyrna, modern Izmir, reused in Valli-Kouissou or Balli-Kuyu",Yes,Secondary,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Crown,,,Yes,-166,-160,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Public,State decrees,,,50,"Demos, Patris, Presbeia, Basileus, Presbys, Synedrion, Polis, Boule, Kerykes, Nomofylax, Psefisma, Agora, Analoma, Trapeza,","Stesai, Eis stelen lithinen,","Kalos kai agathos, Filotimia, Prothymos, Epainesai, Proedria, Stefanos, Stefanosai, Eunoia,",,,,"Abderites, Thrakes, Romaioi,",Mixed,Mixed,"Rome, Teos,",2,No,No,"Amymon, child of Epikouros, partner of, grandchild of, Megathymos, child of Athenaios, partner of, grandchild of, Kotys, child of, partner of, grandchild of, Herakleides, child of Alkifron, partner of, grandchild of, Alkifron, child of Demetrios, partner of, grandchild of,",5,6,Greek and Thracian,
2314,"Janouchova, Petra *",Yes,I Aeg Thrace,6,10006,,Izmir,Teos,Smyrna,3769,POINT(26.785014 38.177262),1 Certain,temple of Dionysos in Teos,No,Religious/Ritual,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Crown,,,Yes,-166,-160,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Public,State decrees,,,26,"Demos, Polis, Eleutheria, Agora,",,"Eunoia, Euergesia, Filotimia,","naos, theos,",,,"Abderites, Teoi,",City,Greek,,,No,No,,0,0,No Name,
2318,"Janouchova, Petra *",Yes,I Aeg Thrace,7,10007,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),3 Region,Bouloustra,Yes,Secondary,No,Stone,Marble,,Stele,1 Intact,4 N/A,,,,,Yes,-199,-100,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Public,State decrees,,,41,"Nomofylax, Polis, Politai, Demos, Boule, Agon, Psefisma, Analoma, Presbeia, Agora,",,"Eunoia, Euergesia, Time, Proxenos, Efodos, Eisplous and ekplous, Asylia, Proedria, Stefanos, Stefanosai,","Dionysia, hieron, Dionysus, thysia, Theatron,",,,"Akanthios,",City,Greek,,,No,No,"Filon, child of Python, partner of, Akanthios, grandchild of,",1,1,Greek only,Greek
2323,"Janouchova, Petra *",Yes,I Aeg Thrace,8,10008,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),1 Certain,Bouloustra,No,Religious/Ritual,No,Stone,Marble,,Stele,1 Intact,4 N/A,,,,,Yes,-199,-100,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Public,State decrees,,,33,"Nomofylax, Demos, Politai, Polis, Boule, Emporion, Psefisma,","Edoxen,","Kalos kai agathos, Eunous, Time, Epainesai, Ateleia, Exagoge sitou,","Dionysus, hierea, hieron,",,,"Romaioi,",City,Roman,,,No,No,"Markos, Ouallios, child of Markos, partner of, Romaioi, grandchild of,",1,1,Roman only,Roman
2329,"Janouchova, Petra *",Yes,I Aeg Thrace,9,10009,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),1 Certain,Bouloustra,No,Religious/Ritual,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-199,-100,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Public,State decrees,,,44,"Nomofylax, Polis, Demos, Boule, Agon, Eleutheria, Psefisma,","Edoxen,","Arete, Proxenos, Eunoia, Time, Agathos aner, Epainesai, Proedria, Stefanosai, Stefanos, Ekona stesai, Ateleia, Eisplous and ekplous, Efodos,","Dionysia,",,,"Romaioi, Abderites,",City,From area of Thrace,"Thessalonike,",1,No,Yes,"Gaios, Apoustios, child of Markos, partner of, Romaioi, grandchild of, Poplios, Apoustios, child of Gaios, partner of, Romaioi, grandchild of, Soterichos, child of, partner of, grandchild of,",3,4,Greek and Roman,
2333,"Janouchova, Petra *",Yes,I Aeg Thrace,10,10010,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),1 Certain,,No,Religious/Ritual,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-199,-100,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Public,State decrees,,,14,"Nomofylax, Polis, Demos, Politai, Boule,","Edoxen,","Kalos kai agathos, Eunoia, Agathos aner, Epainesai,",,,,"Romaioi,",City,Roman,,,No,No,"Poplios, Apoustios, child of Gaios, partner of, Romaioi, grandchild of,",1,1,Roman only,Roman
2335,"Janouchova, Petra *",Yes,I Aeg Thrace,11,10011,47:1027,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),1 Certain,"Fragment of a marble stele found in 1951 near Polystylos. Ed.pr. T.Papanikolaou in Archaia Thrake II 841-845 (ph.; in Greek; English summary), suggests that a foreigner was honored for giving Abdera a loan under favorable conditions. P.Gauthier, BE (1998) no. 284, suggests a few restorations.",No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-120,-80,Not Roman,-2|-1,,,,,0.5,0.5,,,,,,,,,No,Prose,,Irregular,Public,State decrees,,,22,"Polis, Chremata, Politai,",,"Eunoia,",,,,,None,,,,No,Yes,,0,0,No Name,
2365,"Janouchova, Petra *",Yes,I Aeg Thrace,28,10028,,Abdera,Abdera,Abdera,3767,POINT(24.9732971 40.9343949),1 Certain,Polystylos hill,No,N/A,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,-199,-1,Not Roman,-2|-1,,,,,0.5,0.5,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,4,,,,,,,,None,,,,No,No,,0,0,No Name,
2394,"Janouchova, Petra *",Yes,I Aeg Thrace,54,10054,,Abdera,Abdera,Abdera,3767,POINT(24.9735546 40.9336168),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Floral motive|Architectural moulding,,,Yes,-199,-100,Not Roman,-2,,,,,1,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Eutychis, child of, partner of Kraton, grandchild of,",1,1,Greek only,
