Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context
2294,"Janouchova, Petra *",Yes,I Aeg Thrace,3,10003,47:1026,Abdera,Abdera,Abdera,3767,POINT(24.9727 40.93352),3 Region,"S Abdera, Bouloustra, reused in the house, or in the Kastro (but uncertain), M.Feyel, BCH 66/67 (1942/1943) 180-182 no. 2. Reprinted and discussed by É.Jakab, op.cit. (cf. SEG 47 2258) 90-93 (German translation).",Yes,Secondary,No,Stone,Marble,Thasos,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-370,-350,Not Roman,-4,,,1,,,,,,,,,,,Ionic-attic,No,Prose,,Stoichedon,Public,Legal/Regulations,,"Fragmentary law concerning the sale of slaves and pack animals, ca. 350 B.C",13,"Agora,",,,,,,,None,,,,No,No,,0,0,No Name,
2343,"Janouchova, Petra *",Yes,I Aeg Thrace,16,10016,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),3 Region,"reused in antiquity, hellenistic houses in S part of city",Yes,Habitation,No,Stone,Marble,,Architectural feature,1 Intact,1 Relief,1 Architectural / Ornamental,Architectural moulding|Base,,base,Yes,-325,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,2,,,,"heros,","Mesopolites, Epenor,",Subregional,,None,,,,No,No,"Hermonax, child of Dionysas, partner of, Eurysthenides, grandchild of,",1,1,Greek only,
2376,"Janouchova, Petra *",Yes,I Aeg Thrace,37,10037,,Abdera,Abdera,Abdera,3767,POINT(24.9736619 40.9337627),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,1 Intact,4 N/A,,,,,Yes,-399,-370,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Polys, child of Hekatombios, partner of, grandchild of,",1,1,Greek only,
2378,"Janouchova, Petra *",Yes,I Aeg Thrace,38,10038,47:1028,Abdera,Abdera,Abdera,3767,POINT(24.9735117 40.9336654),3 Region,"Marble base of a stele. Ed.pr. D.Kallintzi, AD 47 B2 (1992) [1997] 498:",Yes,Secondary,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Base,,,Yes,-399,-370,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Psammis, child of Hermagoras, partner of, grandchild of,",1,1,Greek only,
2379,"Janouchova, Petra *",Yes,I Aeg Thrace,38,10039,47:1029,Abdera,Abdera,Abdera,3767,POINT(24.9738979 40.9338599),2 Vicinity,"Ed.pr. D.Triantaphyllos, AD 47 B2 (1992) [1997] 499/500 and AD 48 B2 (1993) [1998] 403/404 (text in majuscules).",No,N/A,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Column,,,Yes,-399,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"[A]spo, child of, partner of Mega[?], grandchild of,",1,1,Greek only,
2380,"Janouchova, Petra *",Yes,I Aeg Thrace,40,10040,47:1031,Abdera,Abdera,Abdera,3767,POINT(24.9730396 40.9334709),2 Vicinity,"Ed.pr. D.Triantaphyllos, AD 47 B2 (1992) [1997] 499/500 and AD 48 B2 (1993) [1998] 403/404 (text in majuscules).",No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-399,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Demetrios, child of Pythodo[ros], partner of, grandchild of,",1,1,Greek only,
2381,"Janouchova, Petra *",Yes,I Aeg Thrace,41,10041,,Abdera,Abdera,Abdera,3767,POINT(24.9731898 40.9336168),2 Vicinity,,No,N/A,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Column,,,Yes,-350,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Archestratos, child of Eupeithos, partner of, grandchild of,",1,1,Greek only,
2382,"Janouchova, Petra *",Yes,I Aeg Thrace,42,10042,,Abdera,Abdera,Abdera,3767,POINT(24.9737906 40.9335682),3 Region,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Naiskos,,,No,-350,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Kleo, child of, partner of Dionysas, grandchild of,",1,1,Greek only,
2383,"Janouchova, Petra *",Yes,I Aeg Thrace,43,10043,47:1035,Abdera,Abdera,Abdera,3767,POINT(24.9732327 40.9335682),2 Vicinity,"Ed.pr. D.Triantaphyllos, AD 47 B2 (1992) [1997] 499/500 and AD 48 B2 (1993) [1998] 403/404 (text in majuscules).",No,N/A,No,Stone,Marble,,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-360,-340,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Nane, child of Parmis, partner of, grandchild of,",1,1,Greek only,
2384,"Janouchova, Petra *",Yes,I Aeg Thrace,44,10044,47:1030,Abdera,Abdera,Abdera,3767,POINT(24.9735546 40.9338275),2 Vicinity,"Ed.pr. D.Triantaphyllos, AD 47 B2 (1992) [1997] 499/500 and AD 48 B2 (1993) [1998] 403/404 (text in majuscules).",No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-350,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Aga[?], child of Ar[chestr]atos, partner of, grandchild of,",1,2,Greek and Uncertain,
2385,"Janouchova, Petra *",Yes,I Aeg Thrace,45,10045,,Abdera,Abdera,Abdera,3767,POINT(24.9732327 40.9337627),1 Certain,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-325,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Archenassa, child of, partner of Hermonax, grandchild of,",1,1,Greek only,
2386,"Janouchova, Petra *",Yes,I Aeg Thrace,46,10046,,Abdera,Abdera,Abdera,3767,POINT(24.973855 40.9337789),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,1 Architectural / Ornamental,Naiskos,,,Yes,-320,-280,Not Roman,-4|-3,,,0.5,0.5,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"[Gl]ykinna, child of Apollodoros, partner of, grandchild of,",1,1,Greek only,
2396,"Janouchova, Petra *",Yes,I Aeg Thrace,56,10056,,Abdera,Abdera,Abdera,3767,POINT(24.9734688 40.9337951),2 Vicinity,,No,N/A,No,Stone,Marble,,Architectural feature,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Column,,,Yes,-399,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,,0,0,No Name,
2397,"Janouchova, Petra *",Yes,I Aeg Thrace,57,10057,,Abdera,Abdera,Abdera,3767,POINT(24.9732542 40.9337141),2 Vicinity,,No,Funerary,No,Stone,Marble,,Architectural feature,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Architectural moulding|Base,,base,Yes,-399,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,,0,0,No Name,
2400,"Janouchova, Petra *",Yes,I Aeg Thrace,60,10060,47:1034,Abdera,Abdera,Abdera,3767,POINT(24.9730182 40.9333736),1 Certain,"Ed.pr. D.Triantaphyllos, AD 47 B2 (1992) [1997] 499/500 and AD 48 B2 (1993) [1998] 403/404 (text in majuscules).",No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-360,-340,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,"Kyrenaios,",City,Greek,,,No,No,"Karnis, child of Prax[iadas], partner of, Kyrenaios, grandchild of,",1,2,Greek and Uncertain,
2422,"Janouchova, Petra *",Yes,I Aeg Thrace,74,10074,,Abdera,Abdera,Abdera,3767,POINT(24.9732971 40.9331143),2 Vicinity,,No,N/A,No,Stone,Marble,,Architectural feature,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Base,,base,Yes,-360,-340,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,,,1,,,,,,,,None,,,,No,No,,0,0,No Name,
2423,"Janouchova, Petra *",Yes,I Aeg Thrace,75,10075,,Abdera,Abdera,Abdera,3767,POINT(24.9729753 40.9337141),3 Region,,No,N/A,No,Stone,Other >,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-399,-200,Not Roman,-4|-3,,,0.5,0.5,,,,,,,,,,,No,Prose,,Irregular,Uncertain,,,,2,,,,,,,,None,,,,No,No,,0,0,No Name,
2442,"Janouchova, Petra *",Yes,I Aeg Thrace,80,10080,,Porto Lagos,,Abdera,3771,POINT(25.1095533 41.0137134),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,2 Figural,,Horse rider|Animal,,Yes,-399,-300,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Parmenon, child of Antibios, partner of, grandchild of,",1,1,Greek only,
2539,"Janouchova, Petra *",Yes,I Aeg Thrace,134,10134,,Molyboti,,Chersonesos Molybotes,3784,POINT(25.2874374 40.9401007),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-399,-380,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Aristas, child of Komaios, partner of, grandchild of,",1,1,Greek only,
2540,"Janouchova, Petra *",Yes,I Aeg Thrace,135,10135,49:991,Kasaktsi Dere,Stryme,Stryme,3781,POINT(25.284605 40.9387391),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-399,-375,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Athenais, child of Prokles, partner of, grandchild of,",1,1,Greek only,
2542,"Janouchova, Petra *",Yes,I Aeg Thrace,136,10136,,Molyvoti,Stryme,Stryme,3780,POINT(25.2865791 40.9384798),1 Certain,,No,N/A,No,Stone,Other >,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-399,-375,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Echedemos, child of Apelles, partner of, grandchild of,",1,1,Greek only,
2544,"Janouchova, Petra *",Yes,I Aeg Thrace,137,10137,47:1106,Kasaktsi Dere,Stryme,Stryme,3781,POINT(25.2832317 40.938415),2 Vicinity,"Marble stele. Ed.pr. D.Triantaphyllos, AD 48 B2 (1993) [1998] 404:",No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-399,-375,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Patrokles, child of Dionysofanes, partner of, grandchild of,",1,1,Greek only,
2545,"Janouchova, Petra *",Yes,I Aeg Thrace,138,10138,46:859,Kasaktsi Dere,Stryme,Stryme,3781,POINT(25.2865791 40.9393875),2 Vicinity,"Marble stele found at Kasaktsi near Mesi (nomos Rhodopis). Ed.pr. D.Triantaphyllos, AD B2 (1991) [1996] 343:",No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-399,-375,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Patrokles, child of Pausanias, partner of, grandchild of,",1,1,Greek only,
2546,"Janouchova, Petra *",Yes,I Aeg Thrace,139,10139,,Isalon,Stryme,Stryme,3786,POINT(25.2867508 40.939582),2 Vicinity,Narlik,No,N/A,No,Stone,Other >,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-375,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Arkesile, child of Herakleios, partner of, grandchild of,",1,1,Greek only,
2548,"Janouchova, Petra *",Yes,I Aeg Thrace,140,10140,,Mitriko,Stryme,Stryme,3779,POINT(25.2868366 40.938804),1 Certain,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-375,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Aspo, child of Metrodotos, partner of, grandchild of,",1,1,Greek only,
2549,"Janouchova, Petra *",Yes,I Aeg Thrace,141,10141,,Molyvoti,Stryme,Stryme,3780,POINT(25.2858067 40.9381556),3 Region,,Yes,Secondary,No,Stone,Marble,Thasos,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-375,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Hermon, child of Polyaratos, partner of, grandchild of,",1,1,Greek only,
2550,"Janouchova, Petra *",Yes,I Aeg Thrace,142,10142,,Molyvoti,Stryme,Stryme,3780,POINT(25.2852917 40.9389337),3 Region,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-375,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Euboule, child of [Ari]stomachos, partner of, grandchild of,",1,1,Greek only,
2551,"Janouchova, Petra *",Yes,I Aeg Thrace,143,10143,,Molyvoti,Stryme,Stryme,3780,POINT(25.2817726 40.9383501),1 Certain,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-375,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Herais, child of Dioskour[ides], partner of, grandchild of,",1,1,Greek only,
2552,"Janouchova, Petra *",Yes,I Aeg Thrace,144,10144,,Mitriko,Stryme,Stryme,3779,POINT(25.2832317 40.9382204),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-375,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Metrofon, child of Herofilos, partner of, grandchild of,",1,1,Greek only,
2553,"Janouchova, Petra *",Yes,I Aeg Thrace,145,10145,,Mitriko,Stryme,Stryme,3779,POINT(25.2846909 40.9391282),3 Region,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-375,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Protis, child of Heronestos, partner of, grandchild of,",1,1,Greek only,
2554,"Janouchova, Petra *",Yes,I Aeg Thrace,146,10146,,Molyvoti,Stryme,Stryme,3780,POINT(25.2849483 40.9380259),1 Certain,,No,N/A,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-399,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,3,,,,,,,"Abderites,",City,Greek,,,No,No,"Abderion, child of Xenofon, partner of, grandchild of,",1,1,Greek only,Greek
2555,"Janouchova, Petra *",Yes,I Aeg Thrace,147,10147,,Molyvoti,Stryme,Stryme,3780,POINT(25.2864075 40.9383501),1 Certain,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-399,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Leonti[?], child of Dionysofa[nes], partner of, grandchild of,",1,1,Greek only,
2556,"Janouchova, Petra *",Yes,I Aeg Thrace,148,10148,,Molyvoti,Stryme,Stryme,3780,POINT(25.2826309 40.9379611),1 Certain,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-399,-350,Not Roman,-4,,,1,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,1,,,,,,,,None,,,,No,No,"[?]okrates, child of, partner of, grandchild of,",1,1,Greek only,
