Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context,
2168,"Janouchova, Petra *",Yes,I Aeg Thrace,1,10001,,Abdera,Abdera,Abdera,3767,POINT(24.9730182 40.9335844),3 Region,house of Pantaloglou,Yes,Secondary,No,Stone,Limestone,local limestone,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-485,-475,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,Thasos/Paros,Irregular,Public,Legal/Regulations,,,16,,,,,,,,None,,,,No,No,,0,0,No Name,,0
2338,"Janouchova, Petra *",Yes,I Aeg Thrace,13,10013,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),2 Vicinity,,No,N/A,No,Stone,Marble,Thasos,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,Thasos/Paros,Irregular,Private,,Dedicatory,,4,,,,"Hermes,","Agoraios,",Regional,,None,,,,No,No,"[Pa]mfilos, child of, partner of, grandchild of, [Al]kimene, child of, partner of, grandchild of,",2,2,Greek only,,
2340,"Janouchova, Petra *",Yes,I Aeg Thrace,14,10014,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),3 Region,byzantine wall on the hill Polystylos,Yes,Secondary,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,1 Architectural / Ornamental,Architectural moulding,,,Yes,-420,-400,Not Roman,-5,,1,,,,,,,,,,,,Ionic-attic,No,Prose,,Irregular,Private,,Dedicatory,,2,,,,"Pythia, Hestia,",,,,None,,,,No,No,,0,0,No Name,,
2342,"Janouchova, Petra *",Yes,I Aeg Thrace,15,10015,,Abdera,Abdera,Abdera,3767,POINT(24.97366 40.93371),3 Region,"in the field of Theodoros Kontogiannis, 100m NE from the theatre",Yes,Secondary,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding|Base,,base,Yes,-420,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,1,,"Anetheken,",,,,,,None,,,,No,No,"Ny[?], child of, partner of, grandchild of,",1,1,Uncertain,,
2363,"Janouchova, Petra *",Yes,I Aeg Thrace,27,10027,,Abdera,Abdera,Abdera,3767,POINT(24.9736619 40.9337141),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,4,,,,,,,,None,,,,No,No,"Eupoli[?], child of, partner of, grandchild of,",1,1,Uncertain,,
2368,"Janouchova, Petra *",Yes,I Aeg Thrace,31,10031,51:913,Abdera,Abdera,Abdera,3767,POINT(24.9736834 40.9338113),1 Certain,around port Halmyre,No,N/A,No,Stone,Other >,,Architectural feature,3 Heavily damaged,4 N/A,1 Architectural / Ornamental,Column,,,Yes,-499,-475,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Anaxidikos, child of Nymfis, partner of, grandchild of,",1,1,Greek only,,
2369,"Janouchova, Petra *",Yes,I Aeg Thrace,32,10032,51:912,Abdera,Abdera,Abdera,3767,POINT(24.9729967 40.9337141),1 Certain," Ed.pr. E.K.Skarlatidou, Horos 14-16 (2000-2003) 245-254 (ph.).",No,N/A,No,Stone,Marble,,Architectural feature,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-475,-450,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,"Mnema,Mneme,",,,,,,None,,,,No,No,"Artemisia / Artemeisia, child of Nymfodoros, partner of, grandchild of,",1,1,Greek only,,
2370,"Janouchova, Petra *",Yes,I Aeg Thrace,33,10033,51:911,Abdera,Abdera,Abdera,3767,POINT(24.9734473 40.9328711),1 Certain,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Floral motive|Column,,funeral stele,Yes,-475,-450,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Hippes, child of Kallianax, partner of, grandchild of,",1,1,Greek only,,
2372,"Janouchova, Petra *",Yes,I Aeg Thrace,34,10034,,Abdera,Abdera,Abdera,3767,POINT(24.9734902 40.9337951),1 Certain,,No,N/A,No,Stone,Other >,,Architectural feature,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Uncertain,,,,1,,,,,,,,None,,,,No,No,,0,0,No Name,,
2373,"Janouchova, Petra *",Yes,I Aeg Thrace,35,10035,,Abdera,Abdera,Abdera,3767,POINT(24.9732757 40.9336978),3 Region,,No,N/A,No,Stone,Marble,,Architectural feature,4 Almost destroyed,4 N/A,,,,,Yes,-499,-300,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Pythag[oras], child of Semag[oras], partner of, grandchild of,",1,1,Greek only,,
