Heurist ID	Creator of the record	Checked	Corpus name	Corpus ID Number	Corpus ID numeric	SEG Number	Modern Location	Ancient Site	Ancient Site -  Region	Location >	Geolocation	Position certainty	Geography notes	Reuse	Archaeological context	Mound	Material category	Stone	Origin of stone	Object category	Preservation	Decoration	Relief Decoration	Architectural Relief	Figural Relief	Decoration notes	Visual record availability	Start Year	End Year	Relative Date	Century	6BC and more	5BC	4BC	3BC	2BC	1BC	1AD	2AD	3AD	4AD	5AD and more	Relative Roman	Undated	Dialect	Latin	Language form	Script	Layout	Document typology	Public documents	Private documents	Document typology notes	Extent of lines	Administrative keywords	Formulaic keywords	Honorific keywords	Religious keywords	Epithet	Context epithet	Collective group names	Collective Identity Type	Collective identity Ethnicity	Geographic names	Total Geographic names	Imperial titulature	Currency	Person	Total people	Total names	Context Names	Community Context
2168	Janouchova, Petra *	Yes	I Aeg Thrace	1	10001		Abdera	Abdera	Abdera	3767	POINT(24.9730182 40.9335844)	3 Region	house of Pantaloglou	Yes	Secondary	No	Stone	Limestone	local limestone	Stele	4 Almost destroyed	4 N/A					Yes	-485	-475	Not Roman	-5		1													No	Undistinguishable	Thasos/Paros	Irregular	Public	Legal/Regulations			16								None				No	No		0	0	No Name	
2169	Janouchova, Petra *	Yes	I Aeg Thrace	2	10002		Abdera	Abdera	Abdera	3767	POINT(24.9732113 40.9337789)	3 Region	house of Konstantinos Demetrakopoulos	Yes	Secondary	No	Stone	Marble	Thasian marble	Stele	2 Slightly damaged	4 N/A					Yes	-300	-280	Not Roman	-3				1											No	Prose		Irregular	Public	Legal/Regulations			8	Doulos, Eleutheros, Polis,							None		Abdera,	1	No	Yes		0	0	No Name	
2273	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	1	20001		Tvarditsa		Caron Limen	3833	POINT(28.4583664 43.6117196)	2 Vicinity		No	N/A	No	Stone	Limestone		Stele	9 Undeterminable	4 N/A					Yes	200	300	Roman	3									1					Ionic-attic	No	Prose		Irregular	Private		Funerary		7				hiereus,			Barbaroi,	Barbaroi	Non-Greek			No	No	Markos, Aurelios, Flabios (Flaouios, Flavios), child of, partner of, grandchild of,	1	1	Roman only	
2276	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	2	20002		Tvarditsa		Caron Limen	3833	POINT(28.4592247 43.6119682)	2 Vicinity		No	N/A	No	Stone	Limestone		Stele	3 Heavily damaged	1 Relief	1 Architectural / Ornamental	Architectural moulding			Yes			Roman													1			No	Prose		Irregular	Private		Dedicatory		8								None				No	No	Sabeina, child of Peios, partner of Unknown, grandchild of, Loukilla, child of Sabeina, partner of, grandchild of Peios, Basia, child of Sabeina, partner of, grandchild of Peios, Prokelleine, child of Sabeina, partner of, grandchild of Peios, Akylas, child of Sabeina, partner of, grandchild of Peios, Biktorinos (Viktorinos), child of Sabeina, partner of, grandchild of Peios,	6	12	Roman and Uncertain	
2279	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	3	20003		Tvarditsa		Caron Limen	3833	POINT(28.4588814 43.6120925)	2 Vicinity	found in a unknown fortress near Tvarditsa	No	N/A	No	Stone	Limestone		Stele	8 Lost	4 N/A					Yes																	1		No	Undistinguishable		Irregular	Uncertain				2								None				No	No		0	0	No Name	
2280	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	4, 329 quinquies	20004		Shabla		Caron Limen	3834	POINT(28.5332108 43.5389671)	2 Vicinity		No	N/A	No	N/A			N/A	8 Lost	4 N/A					Yes																	1	Doric	No	Undistinguishable		Irregular	Private				2								None				No	No	[?]os, child of, partner of [?]ios, grandchild of,	1	1	Uncertain	
2282	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	5	20005		Gorichane		Caron Limen	3835	POINT(28.4578514 43.5300069)	1 Certain		No	N/A	No	N/A			N/A	8 Lost	4 N/A					No	222	235	Roman	3									1						No	Prose	Roman style	Irregular	Public				8								None		Kallatis,	1	Yes	No	Ioulia, Mamaia, child of, partner of, grandchild of, Markos, Aurelios, Severos (Seueros, Seberos, Seoueros), Alexandros, (Severus Alexander), child of, partner of, grandchild of,	2	4	Roman only	
2284	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	6	20006		Kavarna	Bizone	Bizone	3836	POINT(28.3670425 43.4236271)	1 Certain	in the vicinity of Greek school	No	N/A	No	Stone	Marble		Stele	2 Slightly damaged	4 N/A					Yes	1	200	Roman	1|2							0.5	0.5							No	Prose		Irregular	Public	Accounts/Lists|Religious/Ritual		Catalogum sacerdotum et virorum beneficiorum thiasi Bacchi Tauri videtur esse	17			Euergetes,	hiereus,				None				No	No	Theogenes, child of Skythes, partner of, grandchild of, Skythes, child of Theogenes, partner of, grandchild of, Polemarchos, child of Poseideios, partner of, grandchild of, Theages, child of Skythes, partner of, grandchild of, Proklos, child of Skythes, partner of, grandchild of, Min[?], child of Apolonios, partner of, grandchild of, Chrysipos, child of [D or M]aisias, partner of, grandchild of, Poseidonios, child of Mosschos, partner of, grandchild of,	8	10	Mixed names	
2285	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	7	20007		Kavarna		Bizone	3837	POINT(28.3397484 43.4359688)	3 Region		No	N/A	No	Stone	Marble		Stele	9 Undeterminable	4 N/A					Yes			Roman													1			No	Prose		Irregular	Uncertain	Accounts/Lists		Catalogus fortasse	4								None				No	No	Agapenor, child of, partner of, grandchild of, Septimios, child of, partner of, grandchild of, Aurelios, Antoni[nos?], child of, partner of, grandchild of, Aurelios, Aristion, child of, partner of, grandchild of,	4	5	Greek and Roman	
2286	Ctibor, Jan * Janouchova, Petra *	Yes	IG Bulg 1(2)	7 bis	20007.2		Kavarna		Bizone	3837	POINT(28.3534813 43.4137769)	1 Certain	found in a port	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	4 N/A					Yes			Roman													1			No	Prose	Roman style	Irregular	Uncertain				5								None				No	No	Unknown, child of Dionysios, partner of, grandchild of, Ainiades, child of Ainiades, partner of, grandchild of, Alexandros, child of, partner of, grandchild of,	3	4	Greek and Uncertain	
