Heurist ID,Geolocation,Start Year,End Year
2168,POINT(24.9730182 40.9335844),-485,-475
2169,POINT(24.9732113 40.9337789),-300,-280
2273,POINT(28.4583664 43.6117196),200,300
2276,POINT(28.4592247 43.6119682),,
2279,POINT(28.4588814 43.6120925),,
2280,POINT(28.5332108 43.5389671),,
2282,POINT(28.4578514 43.5300069),222,235
2284,POINT(28.3670425 43.4236271),1,200
2285,POINT(28.3397484 43.4359688),,
2286,POINT(28.3534813 43.4137769),,
2288,POINT(28.3385468 43.4355948),-200,-100
2289,POINT(28.4656191 43.3754517),,
2290,POINT(28.4434318 43.3878345),,
2291,POINT(28.3548546 43.4148991),,
2292,POINT(28.4650612 43.3796004),,
2293,POINT(28.3548546 43.4162707),,
2294,POINT(24.9727 40.93352),-370,-350
2295,POINT(22.5006866 38.4815112),-260,-240
2304,POINT(26.785014 38.177262),-166,-160
2314,POINT(26.785014 38.177262),-166,-160
2318,POINT(24.97366 40.93371),-199,-100
2323,POINT(24.97366 40.93371),-199,-100
2329,POINT(24.97366 40.93371),-199,-100
2333,POINT(24.97366 40.93371),-199,-100
2335,POINT(24.97366 40.93371),-120,-80
2337,POINT(24.97366 40.93371),-338,-30
2338,POINT(24.97366 40.93371),-460,-440
2340,POINT(24.97366 40.93371),-420,-400
2342,POINT(24.97366 40.93371),-420,-400
2343,POINT(24.97366 40.93371),-325,-300
2345,POINT(24.97366 40.93371),100,199
2346,POINT(24.97366 40.93371),200,299
2350,POINT(24.97366 40.93371),300,399
2353,POINT(24.97366 40.93371),-338,-30
2354,POINT(24.97366 40.93371),100,199
2355,POINT(24.97366 40.93371),99,99
2356,POINT(24.97366 40.93371),131,132
2359,POINT(24.97366 40.93371),100,199
2360,POINT(24.97366 40.93371),-27,284
2362,POINT(24.97366 40.93371),-27,284
2363,POINT(24.9736619 40.9337141),-460,-440
2365,POINT(24.9732971 40.9343949),-199,-1
2366,POINT(24.9691772 40.9425644),1,199
2367,POINT(24.9732113 40.9336168),-560,-540
2368,POINT(24.9736834 40.9338113),-499,-475
2369,POINT(24.9729967 40.9337141),-475,-450
2370,POINT(24.9734473 40.9328711),-475,-450
2372,POINT(24.9734902 40.9337951),-460,-440
2373,POINT(24.9732757 40.9336978),-499,-300
2375,POINT(24.9737048 40.9337303),-499,-300
2376,POINT(24.9736619 40.9337627),-399,-370
2378,POINT(24.9735117 40.9336654),-399,-370
2379,POINT(24.9738979 40.9338599),-399,-350
2380,POINT(24.9730396 40.9334709),-399,-350
2381,POINT(24.9731898 40.9336168),-350,-300
2382,POINT(24.9737906 40.9335682),-350,-300
2383,POINT(24.9732327 40.9335682),-360,-340
2384,POINT(24.9735546 40.9338275),-350,-300
2385,POINT(24.9732327 40.9337627),-325,-300
2386,POINT(24.973855 40.9337789),-320,-280
2387,POINT(24.9735546 40.9335357),-299,-270
2388,POINT(24.9732971 40.9337627),-299,-200
2389,POINT(24.9732757 40.9335844),-299,-200
2390,POINT(24.9729753 40.9336816),-299,-200
2391,POINT(24.9735975 40.9336816),-299,-100
2392,POINT(24.9733615 40.9336816),-299,-100
2393,POINT(24.9732971 40.9336978),-299,-100
2394,POINT(24.9735546 40.9336168),-199,-100
2395,POINT(24.9735332 40.9337303),-199,-100
2396,POINT(24.9734688 40.9337951),-399,-300
2397,POINT(24.9732542 40.9337141),-399,-300
2398,POINT(24.9734259 40.9337303),-475,-450
2399,POINT(24.97334 40.933633),-199,-100
2400,POINT(24.9730182 40.9333736),-360,-340
2402,POINT(24.9732971 40.9338113),-299,-100
2403,POINT(24.9736404 40.9337141),-199,-1
2404,POINT(24.9732542 40.9337627),-99,-1
2405,POINT(24.9732327 40.9336654),-99,99
2406,POINT(24.9735332 40.9337627),-99,-1
2408,POINT(24.9715805 40.9344922),1,199
2409,POINT(24.9714088 40.9352054),100,199
2410,POINT(24.9717736 40.9346381),200,299
2413,POINT(24.9717736 40.9347029),200,299
2414,POINT(24.9731469 40.9337465),200,299
2415,POINT(24.9731684 40.9336006),270,299
2417,POINT(24.9729753 40.9335033),-99,99
